Nr.,Name der politischen Partei,Datum der Hinterlegung
49,"""Andas""",23.04.2015
50,"""Anti Aids Initiative (aAI)""",14.04.1987
51,"""Anti- Korruptions- Partei"", kurz ""AKP""",03.11.2010
52,"""ANTI-EG-LISTE Österreich muß Österreich bleiben"", Abkürzung ""ANTI""",04.03.1994
53,"""Anti-EG-Partei""",12.11.1992
54,"""Antiimperialistische Koordination (AIK)""",28.09.2004
55,"""ARBEIT. UMWELT. SAUBERKEIT."" (AUS)",18.08.1982
56,"""Arbeiter und Meister Partei Österreichs (AMPÖ)""",29.02.1980
57,"""Arbeiter.innen.kampf (ARKA)""",30.09.2011
58,"""ARBEITSGEMEINSCHAFT BESSER LEBEN Partei zur Verbreitung von humanökologischem Wissen""",03.03.1982
59,"""Arbeitsgemeinschaft bewußt gesund Partei für Gesundheit und Heilung""",29.01.1999
60,"""ARBEITSGEMEINSCHAFT ERHALTENSWERTER GEBÄUDE"" -ARGE ERGE-",30.06.2004
61,"""Arbeitsgemeinschaft für demokratische Politik"", abgekürzt ""AFP""",22.05.1978
62,"""Arbeitsgemeinschaft Ja zur Umwelt, Nein zur Atomenergie""",19.02.1991
63,"""ARBEITSGEMEINSCHAFT MENSCH IN DER UMWELT"" -MIDU-, Kurzbezeichnung: MIDU",30.04.2010
64,"""Arbeitsgemeinschaft Neue Lernkultur"", - Bewegung bildungsbewußter Bürger -, kurz ""Arge Lernkultur""",29.05.1995
65,"""ARBEITSGEMEINSCHAFT WORLDWIDE TECHNOLOGY EXCHANGE"" -WTX-, Kurzbezeichnung ""WTX""",20.02.2012
66,"""Arbeitsgemeinschaft zur Erhaltung schutzwürdiger Altbauten und Förderung der Altstadterhaltung"", Kurzbezeichnung ""AG ALTBAU""",21.08.1989
67,"""Arbeitsgemeinschaft zur Förderung der Sanierung von Altbauten zur Erhöhung der Wohnqualität und Neuschaffung von Wohnraum"", Kurzbezeichnung ""AG SANIERUNG""",21.08.1989
68,"""Arbeitsgruppe Marxismus"" (AGM)",16.11.1994
69,"""ASO AUTOFAHRER SCHUTZ OFFENSIV""",11.03.2003
70,"""ASVG-Aktionsgemeinschaft der Pensionisten Österreichs""",28.08.1989
71,"""Ausländer-Halt-Bewegung""",09.04.1987
72,"""Austria Allianz""",14.05.2013
73,"""Autonom revolutionär subversiv chaotische Hackler Partei"" (A.R.S.C.H. Partei)",23.07.1986
74,"""AUTONOME GRUPPE KOMMUNISTISCHE POLITIK (KOMPOL)""",29.04.1981
75,"""bad ischl SPEZIAL"" (BIZ)",28.06.1991
76,"""Badai"" bzw ""die Badai""",07.04.2015
77,"""BADEN KREATIV""",06.12.1993
78,"""BASIS GRAZ""",12.01.2005
79,"""Basisdemokratische Liste (BDL)""",24.12.1986
80,"""Basisinitiative Pharmazie"", Abkürzung ""BIP""",25.03.1991
81,"""Befreiung der Produktivkräfte""",29.12.1980
82,"""Bewegung 5. November""",10.10.1980
83,"""Bewegung für soziale Befreiung""",11.05.2000
84,"""Bewegung Zukunft Vorarlberg (BZV)""",14.04.2005
85,"""BIO"" Überparteiliche Bürgerinitiativen Organisation",21.06.1994
86,"""BLA - Bürgerliste Lambach""",04.02.1991
87,"""BRAVO ÖSTERREICH""",30.10.1983
88,"""Bruck 2001 (Grün-Soziale Stadtpartei)""",18.01.1990
89,"""Bund freier Patienten (BFP) Bürgerinitiative für freie Heilkunde, freie Therapiewahl ua Patientengrundrechte"", Kurzbezeichnung ""Patientenbund""",11.10.1995
90,"""BUND GEGEN ANPASSUNG""",16.05.1988
91,"""BUND UNABHÄNGIGER STUDENTEN (BUS)""",12.05.1982
92,"""BÜNDNIS 2000""",20.10.1995
93,"""Bündnis '93"", Abkürzung ""B 93""",13.11.1992
94,"""Bündnis 94"", Abkürzung ""B 94""",13.11.1992
95,"""Bündnis 95"", Abkürzung ""B 95""",13.11.1992
96,"""Bündnis '96"", Abkürzung ""B 96""",13.11.1992
97,"""Bündnis für die Zukunft Österreichs (BZÖ)""",04.04.2005
98,"""BÜNDNIS NEUTRALES FREIES ÖSTERREICH"", Kurzbezeichnung ""NFÖ""",17.03.2003
99,"""Bündnis radikaler Organisationen - (B.Ü.R.O.)""",26.11.1992
100,"""Bündnis Zukunft Kärnten"", Kurzbezeichnung ""BZÖ"" bzw ""BZÖ-Kärnten""",12.03.2010
101,"""Bündnis Zukunft Österreich - Tirol (BZÖ-T)""",21.07.2005
102,"""Bündnis Zukunft Österreich - Vorarlberg (BZÖ - Vorarlberg)""",25.07.2005
103,"""Bündnis Zukunft Österreich (BZÖ)""",04.04.2005
104,"""Bündnis Zukunft Österreich Landesgruppe Wien - Die Stadtpartei (Kurzbezeichnung: BZÖ Wien)""",07.04.2005
105,"""Bündnis Zukunft Österreich Salzburg (BZÖ Salzburg)""",04.05.2005
106,"""bunte hilfe""",10.02.1983
107,"""BÜRGER UNION""",20.01.2014
108,"""BÜRGERAKTION '90 für mehr Gerechtigkeit"", Kurzbezeichnung ""B90""",19.03.1990
109,"""Bürgeranwaltschaft""",04.06.1997
110,"""Bürgerbewegung Österreich stoppt die Politiker""",28.07.2008
111,"""Bürgerbewegung Österreich""",28.07.2008
112,"""Bürgerbewegung Rettet Österreich""",28.07.2008
113,"""BÜRGERFORUM '90 für mehr Gerechtigkeit"", Kurzbezeichnung ""F90""",19.03.1990
114,"""Bürgerforum Österreich Liste Fritz Dinkhauser""",21.08.2008
115,"""Bürgerforum Sollenau""",13.12.1989
116,"""Bürgerforum Tirol - Liste Fritz""",22.04.2008
117,"""Bürgerforum Völkermarkt"", Kürzel ""BüFo""",07.08.2014
118,"""Bürgerforum""",07.03.1991
119,"""Bürgerinitiative Demokratisch Leben (B.D.L.)""",22.03.1991
120,"""Bürgerinitiative gegen den Verkauf Österreichs an die EG"" Partei zur Erhaltung der Selbständigkeit Österreichs",26.01.1993
121,"""Bürgerinitiative 'Nein zu EWR & EG' Partei zur Verbreitung von kritischem EWR und EG Informationsmaterial""",01.10.1993
122,"""Bürgerinitiative Österreich""",28.07.2008
123,"""Bürgerinitiative Parlament""",05.12.1985
124,"""BÜRGERINITIATIVE ÜBERLEBEN""",18.01.1983
125,"""Bürgerinitiativen Österreichs""",28.07.2008
126,"""BÜRGERLICHE GRÜNE ÖSTERREICHS - LANDESVERBAND NIEDERÖSTERREICH"", Kurzbezeichnung ""BGÖ""",05.09.1983
127,"""BÜRGERLICHE GRÜNE ÖSTERREICHS (BGÖ)""",22.11.1993
128,"""Bürgerliche Grüne Österreichs (BGÖ), Landesverband Wien"", Kurzbezeichnung ""BGÖ""",18.08.1992
129,"""BÜRGERLISTE ENZESFELD-LINDABRUNN""",23.04.1990
130,"""Bürgerliste Mensch & Natur""",28.09.1994
131,"""Bürgerliste Österreich""",28.07.2008
132,"""Bürgerliste Österreichs"", Abkürzung ""BLÖ""",18.06.1986
133,"""BÜRGERLISTE PETRONELL""",03.04.1989
134,"""BÜRGERLISTE SCHREINER""",30.12.1994
135,"""Bürgerliste Wels"", Kurzbezeichnung ""BLWE""",30.01.2014
136,"""Bürgernahe Partei Österreich - Landesgruppe Vorarlberg""",27.11.2003
137,"""BÜRGER-PARLAMENTS-BEWEGUNG""",19.03.1985
138,"""Bürgerpartei Österreichs"" (BPÖ)",29.07.1998
139,"""BÜRGERPARTEI"" (BP)",08.07.1987
140,"""Bürgerprotest & Nichtwähler"" (BPN)",08.07.1987
141,"""Bürger-Rechts-Bewegung""",06.04.1989
142,"""BÜRGERSCHUTZ Österreich (BSÖ)""",14.03.1994
143,"""BZÖ - Bündnis Zukunft Niederösterreich""",22.06.2007
144,"""BZÖ - Bündnis Zukunft Oberösterreich""",20.07.2012
145,"""BZÖ - Bündnis Zukunft Steiermark""",30.06.2005
146,"""casework alternative liste""",25.09.1987
147,"""CASEWORK""",11.03.1987
148,"""Christdemokraten Österreichs"" - kurz: ""CDÖ""",26.08.2005
149,"""Christdemokratische Arbeitnehmer-Partei""",12.12.1997
150,"""CHRISTDEMOKRATISCHE PARTEI"", kurz ""CDP""",04.05.1990
151,"""Christdemokratische Union (CDU)""",12.12.1997
152,"""Christdemokratische Volksabstimmungspartei"", kurz ""CDVP""",07.01.2010
153,"""Christdemokratische Volkspartei""",12.12.1997
154,"""Christen-Allianz""",22.01.2010
155,"""Christlich Europäische Union (CEU)""",04.12.2003
156,"""Christlich soziale Allianz (CSA)""",28.04.1999
157,"""Christlich Soziale Allianz"", kurz ""CSA""",16.04.1999
158,"""Christlich Soziale Partei""",01.02.1994
159,"""Christlich-Demokratische Union Österreichs"", Kurzbezeichnung ""CDU-Ö""",02.03.1999
160,"""CHRISTLICHE - WÄHLER - GEMEINSCHAFT"" (CWG)",01.06.1990
161,"""Christliche Allianz (CA)""",25.09.1991
162,"""Christliche Arbeitnehmer-Partei""",12.12.1997
163,"""Christliche Partei - Steiermark""",13.01.2012
164,"""Christliche Partei - Tirol""",30.01.2012
165,"""Christliche Partei Österreichs - Salzburg"" (CPÖ - Salzburg)",21.10.2010
166,"""Christliche Partei Österreichs""",09.12.2005
167,"""Christliche Union""",12.12.1997
168,"""Christliche Volkspartei""",12.12.1997
169,"""CHRISTLICHES FORUM""",29.03.1994
170,"""Christlich-Soziale Arbeitnehmer-Partei""",12.12.1997
171,"""Christlich-Soziale Arbeitsgemeinschaft"" (CSA)",08.02.1978
172,"""christlich-soziale Mitte Österreichs"", kurz ""CSMÖ""",08.08.1983
173,"""Christlich-soziale Union (CSU)""",12.12.1997
174,"""Christlich-Soziale Union Österreichs"", Kurzbezeichnung ""CSUÖ""",22.10.1998
175,"""Christlich-Soziale Union"". Kurzbezeichnung ""CSU""",12.02.2001
176,"""Christlich-Soziale Volkspartei""",12.12.1997
177,"""Club Soziale Aktion"", Kurzbezeichnung ""CSA""",05.02.1987
178,"""Congolesische Volkspartei in Österreich""",28.09.1990
179,"""Context - Initiative für freie Studien und brauchbare Information""",13.01.1992
180,"""Dachverband der Ewiggestrigen""",14.10.1983
181,"""DAS GRÜNE FORUM - DIE ÖSTERREICHISCHEN GRÜNEN (Wahlgemeinschaft von Atomgegner-, Natur- und Umweltschutzbürgerinitiativen, Behindertenselbsthilfegruppen und -organisationen, Sozial-, Frauen- und Jugendorganisationen sowie grüner Politiker und sonstiger Einzelpersonen etc)""",14.01.1982
182,"""DAS GRÜNE FORUM - WAHLGEMEINSCHAFT ÖSTERREICHISCHER GRÜNER"" (Wahlplattform von Atomgegner-, Natur- und Umweltschutzbürgerinitiativen, Behindertenselbsthilfegruppen und -organisationen, Sozial-, Frauen- und Jugendorganisationen sowie grüner Politiker und sonstiger Einzelpersonen etc)",25.06.1981
183,"""DAS GRÜNE FORUM - WAHLGEMEINSCHAFT ÖSTERREICHISCHER GRÜNER"" (Wahlplattform von Atomgegner-, Natur- und Umweltschutzbürgerinitiativen, Behindertenselbsthilfegruppen und -organisationen, Sozial-, Frauen- und Jugendorganisationen sowie grüner Politiker und sonstiger Einzelpersonen etc)",24.02.2014
184,"""DAS MODERNE ÖSTERREICH"", kurz ""DMÖ""",27.02.2006
185,"""DAS VOLK REGIERT SELBST"", kurz ""DVRS""",08.08.2005
186,"""DEMO-Austria (Kurzname DEMO)""",17.03.1992
187,"""DEMOKRATEN (D)""",17.02.1993
188,"""Demokratie 92""",14.09.1998
189,"""Demokratie 99""",18.07.2012
190,"""Demokratie Bewegung Österreich"", kurz ""DBÖ""",28.10.2003
191,"""Demokratisch Frei Konstruktiv"", kurz ""DFK""",31.12.2014
192,"""Demokratische Alternative""",30.10.1980
193,"""Demokratische Arbeits-Gemeinschaft"" - DAG",09.10.1987
194,"""Demokratische liberal - nationale Aktivgruppe""",13.01.1993
195,"""Demokratische Liberale Partei Österreich - Liberaler Club (D.L.P.)""",09.06.2014
196,"""Demokratische Partei Österreich""",10.11.1983
197,"""Demokratische Partei Österreich"", kurz ""DPÖ""",11.02.1983
198,"""DEMOKRATISCHE PARTEI VORARLBERGS"", Kurzbezeichnung ""DPV""",26.11.1987
199,"""DEMOKRATISCHE REFORM-PARTEI ÖSTERREICHS""",17.04.1990
200,"""Demokratische Republikaner"" (Demo-Rep)",02.11.2010
201,"""Demokratische Soziale Union"", Kurzform ""DSU""",17.07.1997
202,"""Demokratische Union""",01.12.1997
203,"""Demokratische-Kärntner-Liste""",14.03.1994
204,"""demontage - Initiative zur Förderung des politikwissenschaftlichen Gegendiskurses""",05.05.2010
205,"""Denk Um"", Nebenbezeichnung ""Wirtschaftsliberale Sozialpartei"", Kurzbezeichnung ""DU""",24.11.1988
206,"""Der Norden"" - (Mühlviertel) Weinviertel (Waldviertel), Abkürzung ""Der Norden"" (M)W(W)",11.07.1991
207,"""Der Perger"" - Club für aktive Freizeitgestaltung",07.09.2012
208,"""DER WANDEL"", Kurzbezeichnung ""WANDL""",15.11.1983
209,"""DEUTSCH-VÖLKISCHE PARTEI""",05.07.1995
210,"""Die aktive liberale Partei Österreichs"", Abkürzung ""A.L.Ö.""",18.05.2015
211,"""Die Alternativen Österreichs (AÖ)""",19.11.1982
212,"""Die Anderen - Libertäres Forum"", Kurzbezeichnung ""Die Anderen"", Abkürzung ""DALF""",23.07.1992
213,"""Die Anderen - Libertäres Forum/Bezirksgruppe Alsergrund"", Abkürzung ""DALF""",25.08.1992
214,"""Die Anderen - Libertäres Forum/Bezirksgruppe Hernals"", Abkürzung ""DALF""",18.09.1992
215,"""Die Anderen - Libertäres Forum/Bezirksgruppe Mariahilf"", Abkürzung ""DALF""",18.09.1992
216,"""Die Anderen - Libertäres Forum/Bezirksgruppe Neubau"", Abkürzung ""DALF""",25.08.1992
217,"""Die Anderen - Libertäres Forum/Bezirksgruppe Ottakring"", Abkürzung ""DALF""",18.09.1992
218,"""Die Anderen - Libertäres Forum/Bezirksgruppe Wieden"", Abkürzung ""DALF""",25.08.1992
219,"""Die Anderen - Libertäres Forum/Regionalgruppe Wien"", Kurzbezeichnung ""Die Anderen"", Abkürzung ""DALF""",25.08.1992
220,"""DIE BESTE PARTEI - Die Partei für Frieden, Freiheit, Fröhlichkeit""",30.03.1992
221,"""Die Bewegung""",10.12.1991
222,"""Die Bewegung""",04.10.2002
223,"""Die Bürgerliche Partei Österreichs - BPÖ""",20.08.1999
224,"""Die Bürgerlich-Liberalen""",09.09.2009
225,"""Die Christen""",06.11.2009
226,"""Die ChristenPartei"" (DCP) Oberösterreich",20.01.2010
227,"""Die Eber""",19.05.2014
228,"""Die Ehrenamtlichen""",31.03.2011
229,"""DIE EMSIGEN""",01.06.1994
230,"""Die Freiheitlichen in Kärnten""",15.04.1977
231,"""Die Freiheitlichen in Salzburg (FPS) Liste Dr. Karl Schnell""",22.06.2015
232,"""Die Freisinnigen Österreichs (FÖ)""",30.06.1986
233,"""Die Grauen Österreichs""",02.08.1989
234,"""Die Grauen Österreichs/Partei der Senioren""",31.07.1989
235,"""Die Grauen Panther Österreichs""",28.08.1989
236,"""DIE GRÜNALTERNATIVEN - BURGENLAND (GAL-Bgld)""",19.09.1986
237,"""Die Grünalternativen - Demokratische Liste"", kurz ""GAL""",19.09.1986
238,"""DIE GRÜNALTERNATIVEN - KÄRNTEN (GAL-Ktn)""",19.09.1986
239,"""Die Grünalternativen - Niederösterreich"", kurz ""GAL-NÖ""",30.06.1986
240,"""DIE GRÜNALTERNATIVEN - OBERÖSTERREICH (GAL-OÖ)""",19.09.1986
241,"""DIE GRÜNALTERNATIVEN - SALZBURG (GAL-Slzbg)""",19.09.1986
242,"""DIE GRÜNALTERNATIVEN - STEIERMARK (GAL-Stmk)""",19.09.1986
243,"""DIE GRÜNALTERNATIVEN - TIROL (GAL-Tir)""",19.09.1986
244,"""DIE GRÜNALTERNATIVEN - VORARLBERG (GAL-Vlbg)""",19.09.1986
245,"""DIE GRÜNALTERNATIVEN - WIEN (GAL-Wien)""",19.09.1986
246,"""Die Grüne Alternative (Grüne) Liste Freda Meissner-Blau (AL, BIP, VGÖ, GAL, GRAS, KEL, Unabhängige …)""",22.09.1986
247,"""Die Grüne Alternative (Grüne) Liste Freda Meissner-Blau (AL, BIP, VGÖ, GAL, GRAS, KEL, VÖGA, Unabhängige …)""",22.09.1986
248,"""Die Grüne Alternative Bezirk Neunkirchen"", kurz ""Grüne-Neunkirchen""",23.07.1987
249,"""DIE GRÜNE ALTERNATIVE GUNTRAMSDORF (GRÜNE)""",02.11.1989
250,"""Die Grüne Alternative Hernals"", Kurzbezeichnung ""GRÜNE""",24.11.1986
251,"""Die Grüne Alternative Krems"" (GRÜNE)",15.06.1987
252,"""DIE GRÜNE BEWEGUNG"" (B)",28.06.1982
253,"""DIE GRÜNE FRONT"" - Wählerpartei der Umweltschützer & Unabhängigen - W.d.U. -",11.03.1981
254,"""Die Grünen - Alternative Liste Graz (GRÜNE)""",05.03.1982
255,"""DIE GRÜNEN - DIE GRÜNE ALTERNATIVE - LINZ"" (GRÜNE)",02.06.2005
256,"""DIE GRÜNEN - DIE GRÜNE ALTERNATIVE - OBERÖSTERREICH"" (GRÜNE)",05.09.1989
257,"""DIE GRÜNEN - DIE GRÜNE ALTERNATIVE - WELS"" (GRÜNE)",05.11.1985
258,"""DIE GRÜNEN - DIE GRÜNE ALTERNATIVE (Grüne)""",05.06.1992
259,"""DIE GRÜNEN - DIE GRÜNE ALTERNATIVE (GRÜNE)""",22.09.1986
260,"""DIE GRÜNEN - Die Grüne Alternative Burgenland - zeleni - zöldek - selene (GRÜNE)""",27.04.1987
261,"""Die Grünen - Die Grüne Alternative Kärnten (GRÜNE)""",30.11.1987
262,"""DIE GRÜNEN - DIE GRÜNE ALTERNATIVE NIEDERÖSTERREICH"", Kurzbezeichnung ""GRÜNE NÖ""",23.07.1987
263,"""DIE GRÜNEN - Die GRÜNE Alternative Salzburg""",21.10.1983
264,"""Die Grünen - Die Grüne Alternative Steiermark (Grüne)""",12.07.1985
265,"""DIE GRÜNEN - DIE GRÜNE ALTERNATIVE TIROL (GRÜNE)"" bzw ""die GRÜNEN Tirol""",13.09.1989
266,"""DIE GRÜNEN - Grüne Alternative Baden (Grüne)""",20.11.1987
267,"""DIE GRÜNEN - Grüne Alternative Bruck/Leitha (Grüne)""",20.12.2002
268,"""Die Grünen - Grüne Alternative Vorarlberg"", (Kurzbezeichnung: GRÜNE)",26.09.1988
269,"""Die Grünen - Grüne Alternative Wien (GRÜNE)""",26.11.1990
270,"""Die Grünen - Partei für gesunde Umwelt und saubere Politik""",07.12.1982
271,"""DIE GRÜNEN (GRÜNE) - Die Grüne Alternative Bezirk Krems"", kurz ""Grüne Bezirk Krems""",07.08.1998
272,"""DIE GRÜNEN ALTERNATIVEN ÖSTERREICHS (GAÖ)""",19.11.1982
273,"""DIE GRÜNEN ALTERNATIVEN"" (GAL)",19.11.1982
274,"""DIE GRÜNEN Amstetten""",14.05.2001
275,"""DIE GRÜNEN Brunn am Gebirge""",07.11.2000
276,"""Die Grünen Demokrat/inn/en""",09.06.1988
277,"""DIE GRÜNEN GUMPOLDSKIRCHEN""",20.02.2004
278,"""Die Grünen Klagenfurt""",04.11.1998
279,"""Die Grünen Leonding"", Abkürzung ""Die Grünen""",05.06.2013
280,"""DIE GRÜNEN MÖDLING""",22.08.1995
281,"""DIE GRÜNEN ÖSTERREICHS - DIE NEUE GRÜNE ALTERNATIVE""",28.02.1982
282,"""DIE GRÜNEN ÖSTERREICHS"" - Vereinte Grüne Parteien - (GRÜNE)",27.09.1982
283,"""DIE GRÜNEN ÖSTERREICHS"" (GRÜNE)",26.11.1984
284,"""DIE GRÜNEN ÖSTERREICHS"" (Wahlgemeinschaft von Bürgerinitiativen, Atomgegnern, Natur-, Umweltschutz- und Behinderten-Gruppen und Organisationen, Frauen- und Jugend-Organisationen, sowie grüner Politiker und sonstiger Einzelpersonen, etc)",28.01.1982
285,"""DIE GRÜNEN PERCHTOLDSDORF""",03.04.2003
286,"""Die Grünen St. Pölten"", kurz ""Die Grünen"", ""Grüne""",13.05.1991
287,"""DIE GRÜNEN Tulln - Ökologisches Bürgerforum (Grüne)""",10.08.1995
288,"""DIE GRÜNEN VILLACH""",06.06.1988
289,"""Die Grünen Wiener Neustadt""",20.07.1988
290,"""DIE GRÜNEN WIENERWALD""",22.08.2013
291,"""Die Grünen Zwettl"", kurz ""GrüZw""",07.11.2001
292,"""DIE GRÜNEN""",27.01.1981
293,"""DIE GRÜNEN"" (GRÜNE)",12.06.1986
294,"""DIE GRÜNEN"", Kurzbezeichnung ""GRÜNE""",18.08.1992
295,"""DIE GRÜNEN, Landesverband Burgenland""",18.08.1992
296,"""DIE GRÜNEN, Landesverband Kärnten""",18.08.1992
297,"""DIE GRÜNEN, Landesverband Oberösterreich""",18.08.1992
298,"""DIE GRÜNEN, Landesverband Salzburg""",18.08.1992
299,"""DIE GRÜNEN, Landesverband Steiermark""",18.08.1992
300,"""DIE GRÜNEN, Landesverband Tirol""",18.08.1992
301,"""DIE GRÜNEN, Landesverband Vorarlberg""",18.08.1992
302,"""Die Hernalser Initiative""",24.07.2006
303,"""Die Jungen Liberalen Österreich"", kurz ""JuLis""",08.02.1993
304,"""Die Liberale Alternative""",26.03.1987
305,"""Die Liberale Initiative""",25.03.1987
306,"""DIE LIBERALEN ÖSTERREICHS""",18.07.1990
307,"""DIE LIBERALEN"" (L)",18.07.1990
308,"""DIE LINKE""",03.12.2012
309,"""Die Mitte""",23.03.2006
310,"""Die Neue Partei""",04.10.2012
311,"""Die Opposition - Bewegung überparteilicher Bürgerinitiativen""",24.06.1994
312,"""Die österreichische Autofahrerpartei""",09.01.1989
313,"""DIE ÖSTERREICHISCHEN GRÜNEN - DIE NEUE GRÜNE ALTERNATIVE""",04.03.1982
314,"""Die Österreichischen Liberalen - Plattform liberaler Kräfte in Österreich"", Kurzbezeichnung ""Liberale""",30.05.1988
315,"""Die Politische Palette Österreichs""",08.10.1999
316,"""Die Rebellen vom Liang Shan Po"" (""D.R.V.L.S.P."")",04.03.1983
317,"""Die Reformkonservativen - REKOS"", Kurzbezeichnung REKOS""",14.11.2013
318,"""DIE REPUBLIKANER ÖSTERREICHS"" (REP)",12.10.1989
319,"""DIE REPUBLIKANER"" (REP)",26.04.1989
320,"""Die Sozialliberalen""",06.03.2002
321,"""Die Stadtpartei Wien 2001""",16.12.1999
322,"""Die Templer - Patriotische Christen Österreichs"", Kurzbezeichnung ""TCÖ""",14.12.2011
323,"""DIE UNABHÄNGIGEN""",21.06.1999
324,"""Die Unabhängigkeitspartei""",02.10.2014
325,"""Die weiße Friedenspartei Österreich"", Kurzbezeichnung ""wFPÖ""",01.04.2008
326,"""Die Weiße Partei Österreich"" (WPÖ)",25.09.2006
327,"""Die Weiße Partei Österreichs, Demokratische Wahlmonarchie (WPÖ/DWM)""",15.06.1989
328,"""Die weiße Rose""",13.05.1988
329,"""DIE WEISSEN EUROPAS (WEISS)""",08.01.2014
330,"""DIE WEISSEN ÖSTERREICHS"" (unabhängige Bürgerbewegung)",13.06.2008
331,"""Die Weißen"" (Die Weissen) Bewegung freier, initiativer Bürger zur Stärkung der kleinen Einheiten ""Small is beautiful""",06.07.1994
332,"""Die Weißen"" Bewegung überparteilicher Bürgerinitiativen",21.06.1994
333,"""Die Weißen"" Bewegung überparteilicher Bürgerinitiativen",28.06.1994
334,"""DIE WEISSEN"", Kurzbezeichnung ""WEISS""",08.06.2010
335,"""Die Welser Freiheitlichen"" (FPW)",05.10.2005
336,"""DIE WIRTSCHAFTSPARTEI""",03.02.1992
337,"""Direkt-Demokratische Plattform Österreichs"", kurz ""DDP""",18.11.2003
338,"""DONAU - STADT - PARTEI"" (Abkürzung ""DSP"")",30.09.1997
339,"""DONAUSTADT-PARTEI""",08.07.1997
340,"""dynamik 5 - europäisch, solidarisch, ökologisch, spirituell, politisch""",01.06.2001
341,"""Ebreichsdorfer Wahlgemeinschaft (EWG)""",08.10.1990
