ID 1,Name,weitere Bezeichnung,Datum,Jahr,Originaleintrag
781,Piratenpartei Oberösterreich,"Kurzbezeichnung und Abkürzung ""Piraten"" bzw ""die Piraten"" Kurzbezeichnung auf Wahlvorschlägen ""PIRAT""",15.05.2014,2014,"781 ""Piratenpartei Oberösterreich"", Kurzbezeichnung und Abkürzung ""Piraten"" bzw ""die Piraten"", Kurzbezeichnung auf Wahlvorschlägen ""PIRAT"" 15.05.2014"
782,Piratenpartei Österreichs,"Kurzbezeichnung ""Piratenpartei"" Abkürzung ""PPÖ""",31.07.2006,2006,"782 ""Piratenpartei Österreichs"", Kurzbezeichnung ""Piratenpartei"", Abkürzung ""PPÖ"" 31.07.2006"
783,Piratenpartei Steiermark,"Kurzbezeichnung und Abkürzung ""Piraten"" bzw ""die Piraten"" Kurzbezeichnung auf Wahlvorschlägen ""PIRAT""",28.08.2014,2014,"783 ""Piratenpartei Steiermark"", Kurzbezeichnung und Abkürzung ""Piraten"" bzw ""die Piraten"", Kurzbezeichnung auf Wahlvorschlägen ""PIRAT"" 28.08.2014"
784,Piratische Studentinnen und Studenten Österreichs,"Abkürzung ""(PiSt)""",23.09.2010,2010,"784 ""Piratische Studentinnen und Studenten Österreichs"", Abkürzung ""(PiSt)"" 23.09.2010"
785,Plattform für Pluralismus und Hochschulpolitik,,30.11.1999,1999,"785 ""Plattform für Pluralismus und Hochschulpolitik"" 30.11.1999"
786,Politik ohne Parteibuch,POP,03.05.1990,1990,"786 ""Politik ohne Parteibuch"" POP 03.05.1990"
787,Pöltl für Österreich,"Kurzbezeichnung ""PfÖ""",24.10.2008,2008,"787 ""Pöltl für Österreich"", Kurzbezeichnung ""PfÖ"" 24.10.2008"
788,PRO HETZENDORF (PH),,08.03.2013,2013,"788 ""PRO HETZENDORF (PH)"" 08.03.2013"
789,"Pro Kottingbrunn - Verein zur Förderung und Unterstützung der wirtschaftlichen, kulturellen und sozialen Entwicklung der Gemeinde",,12.01.1998,1998,"789 ""Pro Kottingbrunn - Verein zur Förderung und Unterstützung der wirtschaftlichen, kulturellen und sozialen Entwicklung der Gemeinde"" 12.01.1998"
790,PRO MAUERBACH,,05.12.2014,2014,"790 ""PRO MAUERBACH"" 05.12.2014"
791,PRO ÖSTERREICH,(unabhängige Bürgerbewegung),09.11.2009,2009,"791 ""PRO ÖSTERREICH"" (unabhängige Bürgerbewegung) 09.11.2009"
792,progressive Partei,,10.10.1980,1980,"792 ""progressive Partei"" 10.10.1980"
793,Projekt Demokratische Linke,,12.03.1991,1991,"793 ""Projekt Demokratische Linke"" 12.03.1991"
794,Protestpartei,"kurz ""PP""",14.07.1982,1982,"794 ""Protestpartei"", kurz ""PP"" 14.07.1982"
795,PROTESTWÄHLER-PARTEI,,20.02.1992,1992,"795 ""PROTESTWÄHLER-PARTEI"" 20.02.1992"
796,RADIKALE PARTEI ÖSTERREICHS,(RPÖ),14.06.1982,1982,"796 ""RADIKALE PARTEI ÖSTERREICHS"" (RPÖ) 14.06.1982"
797,Radikal-Liberale Partei (RLP),,30.06.1986,1986,"797 ""Radikal-Liberale Partei (RLP)"" 30.06.1986"
798,RealDemokraten Österreichs (RDÖ),,17.08.2012,2012,"798 ""RealDemokraten Österreichs (RDÖ)"" 17.08.2012"
799,RECHTSBLOCK,,01.03.1983,1983,"799 ""RECHTSBLOCK"" 01.03.1983"
800,Rechtsschutzforum unabhängige Bürgerhilfe in Zusammenarbeit von Vereinigungen Europäischer Bürgerinitiativen zum Schutze des Lebens und der Menschenwürde,"Kurzbezeichnung ""R.U.B.""",03.03.1986,1986,"800 ""Rechtsschutzforum unabhängige Bürgerhilfe in Zusammenarbeit von Vereinigungen Europäischer Bürgerinitiativen zum Schutze des Lebens und der Menschenwürde"", Kurzbezeichnung ""R.U.B."" 03.03.1986"
801,RED LIONS AUSTRIA - Österreichische Gesellschaft für eine bessere Welt,,24.02.1987,1987,"801 ""RED LIONS AUSTRIA - Österreichische Gesellschaft für eine bessere Welt"" 24.02.1987"
802,Reform Partei Österreich,,08.08.2008,2008,"802 ""Reform Partei Österreich"" 08.08.2008"
803,REGNUM-DEI-RD,,14.11.1994,1994,"803 ""REGNUM-DEI-RD"" 14.11.1994"
804,REICHSVOLKSFÜHRUNGSBEFEHLSMACHT,"Kurzbezeichnung ""RVFBM""",24.05.1994,1994,"804 ""REICHSVOLKSFÜHRUNGSBEFEHLSMACHT"", Kurzbezeichnung ""RVFBM"" 24.05.1994"
805,REKO Rechtskonservative Partei,,14.11.2013,2013,"805 ""REKO Rechtskonservative Partei"" 14.11.2013"
806,REPUBLIKANISCHE BEWEGUNG,(REP),12.10.1989,1989,"806 ""REPUBLIKANISCHE BEWEGUNG"" (REP) 12.10.1989"
807,Republikanische Demokraten,(Rep-Demo),17.04.1990,1990,"807 ""Republikanische Demokraten"" (Rep-Demo) 17.04.1990"
808,Rettet Österreich,,27.06.2008,2008,"808 ""Rettet Österreich"" 27.06.2008"
809,Revolutionär Sozialistische Organisation,(RSO),24.05.2007,2007,"809 ""Revolutionär Sozialistische Organisation"" (RSO) 24.05.2007"
810,Revolutionär-Kommunistische Organisation zur Befreiung (RKOB),,12.04.2011,2011,"810 ""Revolutionär-Kommunistische Organisation zur Befreiung (RKOB)"" 12.04.2011"
811,Revolutionsbräuhof,,20.03.1987,1987,"811 ""Revolutionsbräuhof"" 20.03.1987"
812,RKL (Revolutionär Kommunistische Liga),,07.03.1979,1979,"812 ""RKL (Revolutionär Kommunistische Liga)"" 07.03.1979"
813,ROSA LISTE WIEN,,19.03.1991,1991,"813 ""ROSA LISTE WIEN"" 19.03.1991"
814,ROSA LISTE,,19.03.1991,1991,"814 ""ROSA LISTE"" 19.03.1991"
815,ROTSTILZCHEN,,23.07.1986,1986,"815 ""ROTSTILZCHEN"" 23.07.1986"
816,RSD (realpolitische Sozialdemokratie),,13.07.2015,2015,"816 ""RSD (realpolitische Sozialdemokratie)"" 13.07.2015"
817,RumänInnen Partei Österreich,,22.10.2014,2014,"817 ""RumänInnen Partei Österreich"" 22.10.2014"
818,Salzburger Piratenpartei,"Kurzbezeichnung und Abkürzung ""Salzburger Piraten"" oder ""Piraten"" Kurzbezeichnung auf Wahlvorschlägen ""PIRAT""",28.01.2013,2013,"818 ""Salzburger Piratenpartei"", Kurzbezeichnung und Abkürzung ""Salzburger Piraten"" oder ""Piraten"", Kurzbezeichnung auf Wahlvorschlägen ""PIRAT"" 28.01.2013"
819,Salzburger Seniorenbund,"Kurzbezeichnung ""SSB""",09.12.2002,2002,"819 ""Salzburger Seniorenbund"", Kurzbezeichnung ""SSB"" 09.12.2002"
820,SAMMLUNG CHRISTLICHER ALTERNATIVEN IN ÖSTERREICH (SCA),,14.07.1986,1986,"820 ""SAMMLUNG CHRISTLICHER ALTERNATIVEN IN ÖSTERREICH (SCA)"" 14.07.1986"
821,Schutzverband vereinigter Pensionisten Österreichs,,05.07.1985,1985,"821 ""Schutzverband vereinigter Pensionisten Österreichs"" 05.07.1985"
822,Senioren und Pensionisten Partei - Wien,"Kurzbezeichnung ""SEPP - Wien"" wahlweise der Zusatz ""die Seniorenpartei""",10.11.2011,2011,"822 ""Senioren und Pensionisten Partei - Wien"", Kurzbezeichnung ""SEPP - Wien"", wahlweise der Zusatz ""die Seniorenpartei"" 10.11.2011"
823,Solidarische Kultur Österreich - SKÖ,,31.07.2008,2008,"823 ""Solidarische Kultur Österreich - SKÖ"" 31.07.2008"
824,Solidarität jetzt,"Kurzbezeichnung ""jetzt""",27.04.2015,2015,"824 ""Solidarität jetzt"", Kurzbezeichnung ""jetzt"" 27.04.2015"
825,Solidarität,,02.01.1996,1996,"825 ""Solidarität"" 02.01.1996"
826,"Solidarität, Ökologie und Lebensstil",(SOL),26.03.1990,1990,"826 ""Solidarität, Ökologie und Lebensstil"" (SOL) 26.03.1990"
827,Sozalistische Alternative (SOAL),,03.06.1985,1985,"827 ""Sozalistische Alternative (SOAL)"" 03.06.1985"
828,Sozial Liberales Österreich,"Kurzbezeichnung ""SLÖ""",27.05.2013,2013,"828 ""Sozial Liberales Österreich"", Kurzbezeichnung ""SLÖ"" 27.05.2013"
829,Sozialanarchistische Union,"Kurzbezeichnung ""SAU""",29.09.1992,1992,"829 ""Sozialanarchistische Union"", Kurzbezeichnung ""SAU"" 29.09.1992"
830,Sozialdemokratische ArbeiterInnenpartei - SDAP,,16.06.2015,2015,"830 ""Sozialdemokratische ArbeiterInnenpartei - SDAP"" 16.06.2015"
831,Sozialdemokratische Partei Österreichs (SPÖ),,19.08.1975,1975,"831 ""Sozialdemokratische Partei Österreichs (SPÖ)"" 19.08.1975"
832,Sozialdemokratische Partei Österreichs,(SDPÖ),12.02.1979,1979,"832 ""Sozialdemokratische Partei Österreichs"" (SDPÖ) 12.02.1979"
833,Soziale Allianz Österreichs,"Kurzbezeichnung ""SAÖ""",13.12.1990,1990,"833 ""Soziale Allianz Österreichs"", Kurzbezeichnung ""SAÖ"" 13.12.1990"
834,SOZIALE ARBEITERPARTEI ÖSTERREICHS,"abgekürzt ""SAÖ""",17.06.1981,1981,"834 ""SOZIALE ARBEITERPARTEI ÖSTERREICHS"", abgekürzt ""SAÖ"" 17.06.1981"
835,Soziale Gerechtigkeitspartei Österreichs (SGÖ),,14.05.1980,1980,"835 ""Soziale Gerechtigkeitspartei Österreichs (SGÖ)"" 14.05.1980"
836,SOZIALE HEIMAT PARTEI ÖSTERREICH,,10.05.2006,2006,"836 ""SOZIALE HEIMAT PARTEI ÖSTERREICH"" 10.05.2006"
837,Soziale Plattform Lichtenwörth,"Kurzbezeichnung ""SPL"" Abkürzung ""SP-Lichtenwörth""",30.09.2014,2014,"837 ""Soziale Plattform Lichtenwörth"", Kurzbezeichnung ""SPL"", Abkürzung ""SP-Lichtenwörth"" 30.09.2014"
838,Soziale Volksbewegung,(SVB),13.05.1983,1983,"838 ""Soziale Volksbewegung"" (SVB) 13.05.1983"
839,Soziale Volkspartei (SVP),,29.10.1982,1982,"839 ""Soziale Volkspartei (SVP)"" 29.10.1982"
840,Soziale Volksunion,,21.04.1993,1993,"840 ""Soziale Volksunion"" 21.04.1993"
841,Soziales Bürgerforum Österreich SBÖ,"Untertitel ""Partei der Mitte""",15.12.2004,2004,"841 ""Soziales Bürgerforum Österreich SBÖ"", Untertitel ""Partei der Mitte"" 15.12.2004"
842,Sozialisten,"abgekürzt ""SOZ""",17.06.1991,1991,"842 ""Sozialisten"", abgekürzt ""SOZ"" 17.06.1991"
843,SOZIALISTISCHE ALTERNATIVE (SOAL) - Österreichische Sektion der IV. Internationale,,10.01.1978,1978,"843 ""SOZIALISTISCHE ALTERNATIVE (SOAL) - Österreichische Sektion der IV. Internationale"" 10.01.1978"
844,Sozialistische LinksPartei,(SLP),12.06.1996,1996,"844 ""Sozialistische LinksPartei"" (SLP) 12.06.1996"
845,SOZIALISTISCHE PARTEI ÖSTERREICH-FRAKTION,"Kurzform ""SPÖ-FRAKTION""",28.11.1990,1990,"845 ""SOZIALISTISCHE PARTEI ÖSTERREICH-FRAKTION"", Kurzform ""SPÖ-FRAKTION"" 28.11.1990"
846,"SOZIALISTISCHES PATIENTENKOLLEKTIV/PATIENTENFRONT (Österreich), SPK/PF (Ö)",,20.04.2000,2000,"846 ""SOZIALISTISCHES PATIENTENKOLLEKTIV/PATIENTENFRONT (Österreich), SPK/PF (Ö)"" 20.04.2000"
847,Sozial-konservative monarchistische Partei Österreichs (S.K.M.P.Ö.),,14.05.1982,1982,"847 ""Sozial-konservative monarchistische Partei Österreichs (S.K.M.P.Ö.)"" 14.05.1982"
848,Sozial-Liberale Allianz,"Kurzbezeichnung ""SLA""",13.12.1990,1990,"848 ""Sozial-Liberale Allianz"", Kurzbezeichnung ""SLA"" 13.12.1990"
849,SOZIAL-LIBERALE PARTEI,(SLP),25.04.1986,1986,"849 ""SOZIAL-LIBERALE PARTEI"" (SLP) 25.04.1986"
850,Sozial-Liberale Partei,"Kurzbezeichnung ""SLP""",13.12.1990,1990,"850 ""Sozial-Liberale Partei"", Kurzbezeichnung ""SLP"" 13.12.1990"
851,"SOZIALLIBERALE-VOLKSPARTEI, (SLVP)",,12.11.1991,1991,"851 ""SOZIALLIBERALE-VOLKSPARTEI, (SLVP)"" 12.11.1991"
852,Stattclub,,25.01.1982,1982,"852 ""Stattclub"" 25.01.1982"
853,STEIRISCHE BÜRGERRECHTLER (SBR),,21.02.1979,1979,"853 ""STEIRISCHE BÜRGERRECHTLER (SBR)"" 21.02.1979"
854,Steirische Unabhängige Seniorenpartei,,02.04.1999,1999,"854 ""Steirische Unabhängige Seniorenpartei"" 02.04.1999"
855,STEIRISCH-GRÜNE BÜRGERLISTE (SGB),,02.07.1985,1985,"855 ""STEIRISCH-GRÜNE BÜRGERLISTE (SGB)"" 02.07.1985"
856,Studenten für Bildung und Politik,,26.05.1988,1988,"856 ""Studenten für Bildung und Politik"" 26.05.1988"
857,Studenten für Medizinerausbildung und Gesundheitspolitik,,18.01.1991,1991,"857 ""Studenten für Medizinerausbildung und Gesundheitspolitik"" 18.01.1991"
858,Studentenprotest & Nichtwähler,(SUN),08.07.1987,1987,"858 ""Studentenprotest & Nichtwähler"" (SUN) 08.07.1987"
859,Team für Kärnten,,21.01.2014,2014,"859 ""Team für Kärnten"" 21.01.2014"
860,Team Kärnten,,09.01.2014,2014,"860 ""Team Kärnten"" 09.01.2014"
861,"Team Niederösterreich, die im NÖ-Landtag vertretene Partei","kurz ""Team Niederösterreich"" (TEAM)",03.12.2013,2013,"861 ""Team Niederösterreich, die im NÖ-Landtag vertretene Partei"", kurz ""Team Niederösterreich"" (TEAM) 03.12.2013"
862,Team Österreich,"(Langbezeichnung: ""Team für Österreich"")",24.01.2014,2014,"862 ""Team Österreich"" (Langbezeichnung: ""Team für Österreich"") 24.01.2014"
863,Team Stronach für Burgenland,,18.12.2012,2012,"863 ""Team Stronach für Burgenland"" 18.12.2012"
864,Team Stronach für Kärnten,,09.10.2012,2012,"864 ""Team Stronach für Kärnten"" 09.10.2012"
865,Team Stronach für Niederösterreich,,12.10.2012,2012,"865 ""Team Stronach für Niederösterreich"" 12.10.2012"
866,Team Stronach für Oberösterreich,,06.12.2012,2012,"866 ""Team Stronach für Oberösterreich"" 06.12.2012"
867,Team Stronach für Österreich,"(Kurzbezeichnung : ""Team Stronach"")",25.09.2012,2012,"867 ""Team Stronach für Österreich"" (Kurzbezeichnung : ""Team Stronach"") 25.09.2012"
868,Team Stronach für Salzburg,,09.11.2012,2012,"868 ""Team Stronach für Salzburg"" 09.11.2012"
869,Team Stronach für Steiermark,,05.12.2012,2012,"869 ""Team Stronach für Steiermark"" 05.12.2012"
870,Team Stronach für Tirol,,06.11.2012,2012,"870 ""Team Stronach für Tirol"" 06.11.2012"
871,Team Stronach für Vorarlberg,,03.12.2012,2012,"871 ""Team Stronach für Vorarlberg"" 03.12.2012"
872,Team Stronach für Wien,,28.01.2013,2013,"872 ""Team Stronach für Wien"" 28.01.2013"
873,Teuflische Aktion,(T.A.),14.10.1983,1983,"873 ""Teuflische Aktion"" (T.A.) 14.10.1983"
874,Tiroler Patrioten LISTE TIROL,- Überparteiische Plattform für Tiroler Politik -,07.07.2007,2007,"874 ""Tiroler Patrioten LISTE TIROL"" - Überparteiische Plattform für Tiroler Politik - 07.07.2007"
875,Trauner Unabhängige,"kurz ""TU""",02.07.2009,2009,"875 ""Trauner Unabhängige"", kurz ""TU"" 02.07.2009"
876,Trotzkistische Gruppe Österreichs (Für den Wiederaufbau der IV. Internationale),,18.04.1986,1986,"876 ""Trotzkistische Gruppe Österreichs (Für den Wiederaufbau der IV. Internationale)"" 18.04.1986"
877,U.F.I. Union zur Förderung heimatlicher Interessen,,06.12.1979,1979,"877 ""U.F.I. Union zur Förderung heimatlicher Interessen"" 06.12.1979"
878,Überparteiliche Burgenlandliste,,27.04.1987,1987,"878 ""Überparteiliche Burgenlandliste"" 27.04.1987"
879,Überparteiliche Bürgerinitiative,,04.01.1999,1999,"879 ""Überparteiliche Bürgerinitiative"" 04.01.1999"
880,Überparteiliche Bürgerliste,,27.04.1987,1987,"880 ""Überparteiliche Bürgerliste"" 27.04.1987"
881,UBLÖ Unabhängige Bürgerlisten Österreich,"Kurzbezeichnung ""UBLÖ""",25.06.2015,2015,"881 ""UBLÖ Unabhängige Bürgerlisten Österreich"", Kurzbezeichnung ""UBLÖ"" 25.06.2015"
882,Umweltforum Wolkersdorf,,14.04.1992,1992,"882 ""Umweltforum Wolkersdorf"" 14.04.1992"
883,Umweltliste Gerasdorf,(ULI),20.06.1990,1990,"883 ""Umweltliste Gerasdorf"" (ULI) 20.06.1990"
884,Umweltschutzpartei (Grüne),,15.02.1988,1988,"884 ""Umweltschutzpartei (Grüne)"" 15.02.1988"
885,Unabhängige Bürgerinitiative 'Rettet Österreich',,30.07.2008,2008,"885 ""Unabhängige Bürgerinitiative 'Rettet Österreich'"" 30.07.2008"
886,UNABHÄNGIGE BÜRGERLISTE POTTENDORF,,14.07.1994,1994,"886 ""UNABHÄNGIGE BÜRGERLISTE POTTENDORF"" 14.07.1994"
887,Unabhängige Dorfliste Radfeld,(U-D-R),04.07.1991,1991,"887 ""Unabhängige Dorfliste Radfeld"" (U-D-R) 04.07.1991"
888,Unabhängige Gemeinderatsfraktion ARBEITSKREIS MILS,,19.07.1990,1990,"888 ""Unabhängige Gemeinderatsfraktion ARBEITSKREIS MILS"" 19.07.1990"
889,Unabhängige Gemeinderatsfraktion DORFLISTE für ein lebenswertes NATTERS,,21.12.1990,1990,"889 ""Unabhängige Gemeinderatsfraktion DORFLISTE für ein lebenswertes NATTERS"" 21.12.1990"
890,Unabhängige Grüne Leonding,"""Die unabhängigen Grünen Leonding"" Kurzbezeichnung ""UGL""",11.08.2014,2014,"890 ""Unabhängige Grüne Leonding"", ""Die unabhängigen Grünen Leonding"", Kurzbezeichnung ""UGL"" 11.08.2014"
891,Unabhängige Kulturoffensive,"Abkürzung ""UKO""",11.01.1983,1983,"891 ""Unabhängige Kulturoffensive"", Abkürzung ""UKO"" 11.01.1983"
892,UNABHÄNGIGE LISTE DER GEMEINDE WIENERWALD,,14.09.1990,1990,"892 ""UNABHÄNGIGE LISTE DER GEMEINDE WIENERWALD"" 14.09.1990"
893,Unabhängige Liste Hohenems,"kurz ""ULH""",17.04.1996,1996,"893 ""Unabhängige Liste Hohenems"", kurz ""ULH"" 17.04.1996"
894,Unabhängige Liste liberaler Studierender,"Kurzbezeichnung ""ULLST""",14.11.1994,1994,"894 ""Unabhängige Liste liberaler Studierender"", Kurzbezeichnung ""ULLST"" 14.11.1994"
895,"Unabhängige Partei für Fortschritt und Fremdenverkehr (Partei für volksnahe Information, Heimatpflege und Förderung des Zusammengehörigkeitsgefühles)",,30.09.1987,1987,"895 ""Unabhängige Partei für Fortschritt und Fremdenverkehr (Partei für volksnahe Information, Heimatpflege und Förderung des Zusammengehörigkeitsgefühles)"" 30.09.1987"
896,Unabhängige Partei Österreichs (UPÖ),,08.04.2014,2014,"896 ""Unabhängige Partei Österreichs (UPÖ)"" 08.04.2014"
897,Unabhängige Seniorenpartei Österreichs,"kurz ""USenPÖ""",02.04.1999,1999,"897 ""Unabhängige Seniorenpartei Österreichs"", kurz ""USenPÖ"" 02.04.1999"
898,Unabhängige VOLKSPARTEI,(UVP) - Erste österreichische Partei für alle -,28.06.1982,1982,"898 ""Unabhängige VOLKSPARTEI"" (UVP) - Erste österreichische Partei für alle - 28.06.1982"
899,UngüLtiG,(Union nicht genug überdachten Lächelns trotz innerer Genialität),01.10.1986,1986,"899 ""UngüLtiG"" (Union nicht genug überdachten Lächelns trotz innerer Genialität) 01.10.1986"
900,UNION 1989,,24.05.1989,1989,"900 ""UNION 1989"" 24.05.1989"
901,UNION 1990,,24.05.1989,1989,"901 ""UNION 1990"" 24.05.1989"
902,UNION 1991,,24.05.1989,1989,"902 ""UNION 1991"" 24.05.1989"
903,UNION 1992,,24.05.1989,1989,"903 ""UNION 1992"" 24.05.1989"
904,UNION 1993,,24.05.1989,1989,"904 ""UNION 1993"" 24.05.1989"
905,UNION 1994,,24.05.1989,1989,"905 ""UNION 1994"" 24.05.1989"
906,UNION 1995,,24.05.1989,1989,"906 ""UNION 1995"" 24.05.1989"
907,UNION 1996,,24.05.1989,1989,"907 ""UNION 1996"" 24.05.1989"
908,UNION 1997,,24.05.1989,1989,"908 ""UNION 1997"" 24.05.1989"
909,UNION 1998,,24.05.1989,1989,"909 ""UNION 1998"" 24.05.1989"
910,Union für objektive Information,(UFOI),20.11.1986,1986,"910 ""Union für objektive Information"" (UFOI) 20.11.1986"
911,Union zur Förderung bürgerlicher Meinungsäußerung,,05.12.1984,1984,"911 ""Union zur Förderung bürgerlicher Meinungsäußerung"" 05.12.1984"
912,Union zur Förderung des Vereinsgeschehens und der Information der Gemeindebürger,,27.12.1984,1984,"912 ""Union zur Förderung des Vereinsgeschehens und der Information der Gemeindebürger"" 27.12.1984"
913,Union zur Verbreitung von Information,(UzVvI),24.09.1986,1986,"913 ""Union zur Verbreitung von Information"" (UzVvI) 24.09.1986"
914,UPÖ - Die Partei für uns Österreicher,,18.01.2002,2002,"914 ""UPÖ - Die Partei für uns Österreicher"" 18.01.2002"
915,VAU-HEUTE,,06.12.2000,2000,"915 ""VAU-HEUTE"" 06.12.2000"
916,Vegetarisch-Egalitäres Bündnis,"Kurzbezeichnung ""Die VegetarierInnen"" Abkürzung ""VEB""",29.04.1994,1994,"916 ""Vegetarisch-Egalitäres Bündnis"", Kurzbezeichnung ""Die VegetarierInnen"", Abkürzung ""VEB"" 29.04.1994"
917,Verband der Sozialversicherten Burgenland,"Kurzbezeichnung ""VDS B""",22.10.1990,1990,"917 ""Verband der Sozialversicherten Burgenland"", Kurzbezeichnung ""VDS B"" 22.10.1990"
918,Verband der Sozialversicherten Kärnten,"Kurzbezeichnung ""VDS K""",22.10.1990,1990,"918 ""Verband der Sozialversicherten Kärnten"", Kurzbezeichnung ""VDS K"" 22.10.1990"
919,Verband der Sozialversicherten Niederösterreich,"Kurzbezeichnung ""VDS NÖ""",22.10.1990,1990,"919 ""Verband der Sozialversicherten Niederösterreich"", Kurzbezeichnung ""VDS NÖ"" 22.10.1990"
920,Verband der Sozialversicherten Oberösterreich,"Kurzbezeichnung ""VDS OÖ""",18.10.1990,1990,"920 ""Verband der Sozialversicherten Oberösterreich"", Kurzbezeichnung ""VDS OÖ"" 18.10.1990"
921,Verband der Sozialversicherten Salzburg,"Kurzbezeichnung ""VDS S""",22.10.1990,1990,"921 ""Verband der Sozialversicherten Salzburg"", Kurzbezeichnung ""VDS S"" 22.10.1990"
922,Verband der Sozialversicherten Steiermark,"Kurzbezeichnung ""VDS ST""",22.10.1990,1990,"922 ""Verband der Sozialversicherten Steiermark"", Kurzbezeichnung ""VDS ST"" 22.10.1990"
923,Verband der Sozialversicherten Tirol,"Kurzbezeichnung ""VDS T""",22.10.1990,1990,"923 ""Verband der Sozialversicherten Tirol"", Kurzbezeichnung ""VDS T"" 22.10.1990"
924,Verband der Sozialversicherten Vorarlberg,"Kurzbezeichnung ""VDS V""",22.10.1990,1990,"924 ""Verband der Sozialversicherten Vorarlberg"", Kurzbezeichnung ""VDS V"" 22.10.1990"
925,Verband der Sozialversicherten Wien,"Kurzbezeichnung ""VDS W""",22.10.1990,1990,"925 ""Verband der Sozialversicherten Wien"", Kurzbezeichnung ""VDS W"" 22.10.1990"
926,Verband der Sozialversicherten,(VDS),26.06.1990,1990,"926 ""Verband der Sozialversicherten"" (VDS) 26.06.1990"
927,VERBAND der UMWELTSCHÜTZER - V.d.U.,"(""AKTION GRÜNES LEBEN"")",17.01.1979,1979,"927 ""VERBAND der UMWELTSCHÜTZER - V.d.U."" (""AKTION GRÜNES LEBEN"") 17.01.1979"
928,Verein christlicher und demokratischer Studenten,(VCDS),14.04.1987,1987,"928 ""Verein christlicher und demokratischer Studenten"" (VCDS) 14.04.1987"
929,Vereinigte Grüne Alternative,,27.04.1987,1987,"929 ""Vereinigte Grüne Alternative"" 27.04.1987"
930,Vereinigte Grüne Burgenlandliste (GRÜNE),,27.04.1987,1987,"930 ""Vereinigte Grüne Burgenlandliste (GRÜNE)"" 27.04.1987"
931,Vereinigte Linke,(VL),16.10.1995,1995,"931 ""Vereinigte Linke"" (VL) 16.10.1995"
932,"VEREINIGTE ÖSTERREICHISCHE GRÜN-ALTERNATIVE (VÖGA), LANDESVERBAND WIEN","Abkürzung ""VÖGA-Wien""",11.03.1986,1986,"932 ""VEREINIGTE ÖSTERREICHISCHE GRÜN-ALTERNATIVE (VÖGA), LANDESVERBAND WIEN"", Abkürzung ""VÖGA-Wien"" 11.03.1986"
933,VEREINIGTE ÖSTERREICHISCHE GRÜN-ALTERNATIVE LANDESVERBAND KÄRNTEN,"Abkürzung ""VÖGA-Kärnten""",07.11.1986,1986,"933 ""VEREINIGTE ÖSTERREICHISCHE GRÜN-ALTERNATIVE LANDESVERBAND KÄRNTEN"", Abkürzung ""VÖGA-Kärnten"" 07.11.1986"
934,VEREINIGTE ÖSTERREICHISCHE GRÜN-ALTERNATIVE,"Abkürzung ""VÖGA""",11.03.1986,1986,"934 ""VEREINIGTE ÖSTERREICHISCHE GRÜN-ALTERNATIVE"", Abkürzung ""VÖGA"" 11.03.1986"
935,VEREINIGTE ÖSTERREICHISCHE GRÜNE,"Abkürzung ""VÖG""",17.03.1986,1986,"935 ""VEREINIGTE ÖSTERREICHISCHE GRÜNE"", Abkürzung ""VÖG"" 17.03.1986"
936,"VEREINIGTE ÖSTERREICHISCHE GRÜNE, LANDESVERBAND WIEN","Abkürzung ""VÖG-Wien""",17.03.1986,1986,"936 ""VEREINIGTE ÖSTERREICHISCHE GRÜNE, LANDESVERBAND WIEN"", Abkürzung ""VÖG-Wien"" 17.03.1986"
937,VEREINIGUNG DER EU-GEGNER ÖSTERREICHS,,14.06.1994,1994,"937 ""VEREINIGUNG DER EU-GEGNER ÖSTERREICHS"" 14.06.1994"
938,Vereinigung liberaldemokratisches Österreich,"kurz ""VLdO""",03.08.2006,2006,"938 ""Vereinigung liberaldemokratisches Österreich"", kurz ""VLdO"" 03.08.2006"
939,Vereinigung liberaldemokratisches Österreich,"kurz ""VLO 2000""",12.03.2001,2001,"939 ""Vereinigung liberaldemokratisches Österreich"", kurz ""VLO 2000"" 12.03.2001"
940,Vereinigung Wiener Ärzte,,01.07.1991,1991,"940 ""Vereinigung Wiener Ärzte"" 01.07.1991"
941,VEREINTE ALTERNATIVE UND GRÜNE ÖSTERREICHS (VAGÖ),,19.11.1982,1982,"941 ""VEREINTE ALTERNATIVE UND GRÜNE ÖSTERREICHS (VAGÖ)"" 19.11.1982"
942,Vereinte Grundsatztreue Ökologen (VGÖ),,15.07.1983,1983,"942 ""Vereinte Grundsatztreue Ökologen (VGÖ)"" 15.07.1983"
943,"Vereinte Grundsatztreue Ökologen, Landesverband Wien",(VGÖ-Wien),23.04.1985,1985,"943 ""Vereinte Grundsatztreue Ökologen, Landesverband Wien"" (VGÖ-Wien) 23.04.1985"
944,Vereinte Grüne Alternative,,27.04.1987,1987,"944 ""Vereinte Grüne Alternative"" 27.04.1987"
945,Vereinte Grüne Burgenlandliste (GRÜNE),,27.04.1987,1987,"945 ""Vereinte Grüne Burgenlandliste (GRÜNE)"" 27.04.1987"
946,"VEREINTE GRÜNE BÜRGERLISTE (VGB), LANDESVERBAND WIEN","Abkürzung ""VGB-Wien""",23.03.1987,1987,"946 ""VEREINTE GRÜNE BÜRGERLISTE (VGB), LANDESVERBAND WIEN"", Abkürzung ""VGB-Wien"" 23.03.1987"
