ID 1,Name,weitere Bezeichnung,Datum,Jahr,Originaleintrag
504,Initiative zur Verbreitung unterbliebener Nachrichten - IVUN,,20.02.1986,1986,"504 ""Initiative zur Verbreitung unterbliebener Nachrichten - IVUN"" 20.02.1986"
505,Inn Piraten,,28.09.2012,2012,"505 ""Inn Piraten"" 28.09.2012"
506,Inovative Fraktion,,07.01.2009,2009,"506 ""Inovative Fraktion"" 07.01.2009"
507,INTERESSENVERBAND HANDEL-GEWERBE-INDUSTRIE INFORMATION FÜR WIRTSCHAFT UND HUMANITÄT,"Kurzbezeichnung ""IV-H.G.I.""",31.03.1983,1983,"507 ""INTERESSENVERBAND HANDEL-GEWERBE-INDUSTRIE INFORMATION FÜR WIRTSCHAFT UND HUMANITÄT"", Kurzbezeichnung ""IV-H.G.I."" 31.03.1983"
508,Internationales Rechtshilfeforum,"Kurzbezeichnung ""I.R.F.""",17.02.1987,1987,"508 ""Internationales Rechtshilfeforum"", Kurzbezeichnung ""I.R.F."" 17.02.1987"
509,ISLAMISCH SOZIALE UNION (ISU),,04.01.2010,2010,"509 ""ISLAMISCH SOZIALE UNION (ISU)"" 04.01.2010"
510,Jakobinerclub,,30.04.2012,2012,"510 ""Jakobinerclub"" 30.04.2012"
511,Jetzt Oder Nie,,15.06.1984,1984,"511 ""Jetzt Oder Nie"" 15.06.1984"
512,Junge Liberale,,28.01.2000,2000,"512 ""Junge Liberale"" 28.01.2000"
513,Kampuchea-Solidaritätskomitee,"abgekürzt ""KSK""",29.06.1981,1981,"513 ""Kampuchea-Solidaritätskomitee"", abgekürzt ""KSK"" 29.06.1981"
514,Kärntner Bürgerliste,(KBL),28.08.1987,1987,"514 ""Kärntner Bürgerliste"" (KBL) 28.08.1987"
515,Keine-Partei,,29.06.2005,2005,"515 ""Keine-Partei"" 29.06.2005"
516,Kern Gesundes Österreich,"kurz ""KGÖ""",16.04.2009,2009,"516 ""Kern Gesundes Österreich"", kurz ""KGÖ"" 16.04.2009"
517,Kini vo Wös oder Kwini vo Wös,,17.01.2015,2015,"517 ""Kini vo Wös oder Kwini vo Wös"" 17.01.2015"
518,KOMitee zur Verteidiguing der Gesellschaft gegen den Staat,(KVGS),14.10.1983,1983,"518 ""KOMitee zur Verteidiguing der Gesellschaft gegen den Staat"" (KVGS) 14.10.1983"
519,Kommunistische Organisation Wien,(KOW),07.04.1981,1981,"519 ""Kommunistische Organisation Wien"" (KOW) 07.04.1981"
520,Kommunistische Partei Österreichs (KPÖ),,13.01.1976,1976,"520 ""Kommunistische Partei Österreichs (KPÖ)"" 13.01.1976"
521,Kommunistischer Bund Österreichs (KB),,20.06.1977,1977,"521 ""Kommunistischer Bund Österreichs (KB)"" 20.06.1977"
522,Kommunistischer Bund Salzburg,(KB Salzburg),29.12.1980,1980,"522 ""Kommunistischer Bund Salzburg"" (KB Salzburg) 29.12.1980"
523,KONSERVATIVE PARTEI ÖSTERREICHS,(K) - Die Konservativen -,11.07.1988,1988,"523 ""KONSERVATIVE PARTEI ÖSTERREICHS"" (K) - Die Konservativen - 11.07.1988"
524,Konservativ-liberale Partei Österreichs,,19.06.1979,1979,"524 ""Konservativ-liberale Partei Österreichs"" 19.06.1979"
525,KOROSKA ENOTNA LISTA - KÄRNTNER EINHEITSLISTE (KEL),,30.09.1987,1987,"525 ""KOROSKA ENOTNA LISTA - KÄRNTNER EINHEITSLISTE (KEL)"" 30.09.1987"
526,Kritische Autonome Zelle,,10.07.1995,1995,"526 ""Kritische Autonome Zelle"" 10.07.1995"
527,KRITISCHE DEMOKRATEN - KD,,09.11.1990,1990,"527 ""KRITISCHE DEMOKRATEN - KD"" 09.11.1990"
528,Kroatische Demokratische Union,"kurz ""KDU""",06.07.2008,2008,"528 ""Kroatische Demokratische Union"", kurz ""KDU"" 06.07.2008"
529,KULTURVERBAND denkmalgeschützter Objekte,,17.11.1983,1983,"529 ""KULTURVERBAND denkmalgeschützter Objekte"" 17.11.1983"
530,"L.G.F., Liberales Golf Forum",,12.02.2010,2010,"530 ""L.G.F., Liberales Golf Forum"" 12.02.2010"
531,"L.U.S.T., Liberale Union Österreichs",,28.10.2004,2004,"531 ""L.U.S.T., Liberale Union Österreichs"" 28.10.2004"
532,Landesorganisation der ÖSTERREICHISCHEN VOLKSPARTEI (ÖVP) im Bundesland Salzburg,,06.02.1995,1995,"532 ""Landesorganisation der ÖSTERREICHISCHEN VOLKSPARTEI (ÖVP) im Bundesland Salzburg"" 06.02.1995"
533,Leben ist eine bewegliche Einheit (L.i.e.b.E.),,06.07.1995,1995,"533 ""Leben ist eine bewegliche Einheit (L.i.e.b.E.)"" 06.07.1995"
534,LEBEN,,18.03.1996,1996,"534 ""LEBEN"" 18.03.1996"
