Jahr,Förderung,Medium/Projekt/Fördernehmer,Verleger & Adresse,Förderbetrag
2009,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Kleine Zeitung Steiermark und Kärnten,Kleine Zeitung GmbH & Co KG Schönaugasse 64 8010 Graz,"187961,5"
2009,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Kurier,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,"150369,2"
2009,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Neue Kärntner Tageszeitung,Kärntner Druck- und Verlagsges.m.b.H. Viktringer Ring 28 9020 Klagenfurt,"187961,5"
2009,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Neue Kronenzeitung,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,"187961,5"
2009,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Neue Vorarlberger Tageszeitung,Zeitungs- und Verlagsges.m.b.H. Gutenbergstraße 1 6858 Schwarzach,"150369,2"
2009,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Neues Volksblatt,OÖ Media Data Vertriebs- und Verlagsges.m.b.H. Hafenstraße 1-3 4010 Linz,"187961,5"
2009,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,OÖ Nachrichten,OÖN Redaktion GmbH & CO KG Promenade 23 4020 Linz,"187961,5"
2009,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Die Presse,Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33 1030 Wien,"150369,2"
2009,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Salzburger Nachrichten,Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40 5020 Salzburg,"187961,5"
2009,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Der Standard,Standard Verlagsgesellschaft m.b.H. Herrengasse 19-21 1010 Wien,"187961,5"
2009,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,SVZ Salzburger Volkszeitung,Salzburger Volkszeitung GmbH & Co KG Schrannengasse 6 5020 Salzburg,"187961,5"
2009,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Tiroler Tageszeitung,Schlüsselverlag J.S. Moser GmbH. Ing.-Etzel-Straße 30 6020 Innsbruck,"187961,5"
2009,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Vorarlberger Nachrichten,"Eugen Ruß, Vbg. Zeitungsverlag u. Druckerei GmbH Gutenbergstr. 1 6858 Schwarzach","187961,5"
2009,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,WirtschaftsBlatt,WirtschaftsBlatt Verlag AG Geiselbergstraße 15/1 1110 Wien,"112776,9"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Kleine Zeitung Steiermark und Kärnten,Kleine Zeitung GmbH & Co KG Schönaugasse 64 8010 Graz,"18655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Kurier,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,8681
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Neue Kärntner Tageszeitung,Kärntner Druck- und Verlagsges.m.b.H. Viktringer Ring 28 9020 Klagenfurt,"18655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Neue Kronenzeitung,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,"18655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Neue Vorarlberger Tageszeitung,"Zeitungs- und Verlagsges.m.b.H. Gutenbergstraße 1 6858 Schwarzach, Vorarlberg",4000
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Neues Volksblatt,"OÖ Media Data Vertriebs- und Verlagsges.m.b.H. Hafenstraße 1-3 4010 Linz, Donau","18655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),OÖ Nachrichten,"OÖN Redaktion GmbH & CO KG Promenade 23 4020 Linz, Donau","18655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Die Presse,Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33 1030 Wien,"5130,3"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Salzburger Nachrichten,Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40 5020 Salzburg,"18655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Der Standard,Standard Verlagsgesellschaft m.b.H. Herrengasse 19-21 1010 Wien,15070
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),SVZ Salzburger Volkszeitung,Salzburger Volkszeitung GmbH & Co KG Bergstraße 12 5020 Salzburg,"18655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Tiroler Tageszeitung,Schlüsselverlag J.S. Moser GmbH. Ing.-Etzel-Straße 30 6020 Innsbruck,"18655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Vorarlberger Nachrichten,"Eugen Ruß, Vbg. Zeitungsverlag u. Druckerei GmbH Gutenbergstr. 1 6858 Schwarzach",4500
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),BVZ - Burgenländische Volkszeitung,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,"18655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Kirchenzeitung der Diözese Linz,"Kirchenzeitung Diözese Linz Kapuzinerstraße 84 4020 Linz, Donau","18655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),NEWS,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,"8203,62"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),NÖN,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,9000
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),OÖ Rundschau - Braunauer Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau",keine anrechenbaren Kosten
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),OÖ Rundschau - Mühlviertler Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau",7907
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),OÖ Rundschau - Rieder Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau","6976,8"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),OÖ Rundschau - Steyrer Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau","1395,3"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),OÖ Rundschau - Vöcklabrucker Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau","3720,9"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Salzburger Woche,Salzburger Woche Verlangs GmbH Ing. Ludwig-Pech-Str. 1 5600 St. Johann im Pongau,"18655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),tv media,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,"18655,04"
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Art & Media Zeitschriftenverlags GmbH & Co KG,Promenade 23 4010 Linz,"abgelehnt, da es sich nicht um eine Vereinigung der Journalistenausbildung im Sinne des § 10 Abs.2 handelt"
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Friedrich Austerlitz-Institut für JournalistInnenausbildung,Löwelstraße 18 1014 Wien,"6220,8"
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,"Friedrich Funder Institut für Publizistik, Medienforschung und Journalistenausbildung",Tivoligasse 73 1120 Wien,"19996,2"
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,GESPU - Gesellschaft für Publizistik und Medienforschung,Alfred-Dallinger-Platz 1 1030 Wien,"37552,6"
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Katholische Medien Akademie,Schottengasse 3/7/39 1010 Wien,"61334,4"
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,"M-MEDIA, Verein zur Förderung interkultureller Medienarbeit",Graumanngasse 7-D-1 1150 Wien,5000
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Österreichische Medienakademie - Kuratorium für Journalistenausbildung,Karolingerstraße 40 5020 Salzburg,455364
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,OÖ Journalistenakademie,Hafenstraße 1-3 4020 Linz,65052
2008,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Kleine Zeitung Steiermark und Kärnten,Kleine Zeitung GmbH & Co KG Schönaugasse 64 8010 Graz,40000
2008,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Kurier,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,40000
2008,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Die Presse,Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33 1030 Wien,40000
2008,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Salzburger Nachrichten,Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40 5020 Salzburg,40000
2008,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Der Standard,Standard Verlagsgesellschaft m.b.H. Herrengasse 19-21 1010 Wien,9577
2008,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),WirtschaftsBlatt,WirtschaftsBlatt Verlag AG Geiselbergstraße 15/1 1110 Wien,38166
2008,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Tiroler Tageszeitung,Schlüsselverlag J.S. Moser GmbH. Ing.-Etzel-Straße 30 6020 Innsbruck,40000
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z1 PresseFG 2004",Verein Zeitung in der Schule (ZIS),Verein zur Förderung der Nutzung von Zeitungen in der Schule Wipplingerstraße 15 1010 Wien,187953
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Kleine Zeitung Steiermark und Kärnten,Kleine Zeitung GmbH & Co KG Schönaugasse 64 8010 Graz,"18323,8"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Kurier,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,"22256,1"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Neue Kärntner Tageszeitung,Kärntner Druck- und Verlagsges.m.b.H. Viktringer Ring 28 9020 Klagenfurt,"297,4"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Neue Kronenzeitung,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,"18349,8"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Neue Vorarlberger Tageszeitung,"Zeitungs- und Verlagsges.m.b.H. Gutenbergstraße 1 6858 Schwarzach, Vorarlberg","306,7"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Neues Volksblatt,"OÖ Media Data Vertriebs- und Verlagsges.m.b.H. Hafenstraße 1-3 4010 Linz, Donau",1947
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",OÖ Nachrichten,"OÖN Redaktion GmbH & CO KG Promenade 23 4020 Linz, Donau","18107,6"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Die Presse,Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33 1030 Wien,"19160,7"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Salzburger Nachrichten,Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40 5020 Salzburg,"25692,9"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Der Standard,Standard Verlagsgesellschaft m.b.H. Herrengasse 19-21 1010 Wien,"30771,2"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",SVZ Salzburger Volkszeitung,Salzburger Volkszeitung GmbH & Co KG Bergstraße 12 5020 Salzburg,"4609,2"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Tiroler Tageszeitung,Schlüsselverlag J.S. Moser GmbH. Ing.-Etzel-Straße 30 6020 Innsbruck,"35036,8"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Vorarlberger Nachrichten,"Eugen Ruß, Vbg. Zeitungsverlag u. Druckerei GmbH Gutenbergstr. 1 6858 Schwarzach, Vorarlberg","4261,2"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",BVZ - Burgenländische Volkszeitung,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,"96,5"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Falter,Falter Zeitschriftengesellschaft m.b.H. Marc-Aurel-Straße 9 1010 Wien,353
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Die Furche,Die Furche ZeitschriftenbetriebsgesmbH & Co KG Lobkowitzplatz 1 1010 Wien,"9393,7"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Hrvatske Novine,Kroatischer Presseverein Hotterweg 54 7000 Eisenstadt,"566,4"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Kirchenzeitung der Diözese Linz,"Kirchenzeitung Diözese Linz Kapuzinerstraße 84 4020 Linz, Donau","1768,5"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",NÖ-Rundschau,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,keine Förderung wegen Einstellung der Zeitung (§ 14 Abs.2 PresseFG 2004)
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",NÖN,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,"1913,1"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Osttiroler Bote,"Osttiroler Bote Medienunternehmen Ges.m.b.H. Schweizergasse 26 9900 Lienz, Osttirol",87
2008,Qualitätsförderung und Zukunftssicherung – 5. Förderung von Forschungsprojekten gemäß § 11 Abs. 3 PresseFG 2004,Konvergenz in Österreichs Zeitungen – Transfer internationaler Forschungs- ergebnisse und Evaluierung crossmedialer Strategien in österreichischen Verlags- häusern,Medienhaus Wien – Forschung und Weiterbildung GmbH Alser Straße 22/8 1090 Wien,20000
2008,Qualitätsförderung und Zukunftssicherung – 5. Förderung von Forschungsprojekten gemäß § 11 Abs. 3 PresseFG 2004,Österreichs Tageszeitungen im Web 2.0 – Web 2.0- und User- generated-content-Angebote österreichischer Tageszeitungen. Eine empirische Analyse der Content-Qualität und des Nutzeraktivierungspotenzials,Privatdozent Dr. Stefan Weber Schopperstraße 10 5020 Salzburg,"kein Beitrag zum Fortschritt auf dem Gebiet des Pressewesens und zur Qualitätssicherung erwart- bar, da sich das geplante Vorhaben auf einen Themenbereich bezieht, der allenfalls einen Nebenaspekt des im Presseförderungsgesetz als
  zentraler gegenstand Bereichs berührt
  Untersuchungs- geforderten Pressewesen"
2008,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Klub der Wirtschaftspublizisten,Bauernmarkt 6/7 1010 Wien,"3002,4"
2008,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Oberösterreichischer Presseclub,"Landstraße 31, Ursulinenhof 4020 Linz","9507,6"
2008,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Presseclub Carinthia,Bahnhofstraße 42/4. Stock 9020 Klagenfurt,"3002,4"
2008,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Presseclub Concordia,"Bankgasse 8, Concordia-Haus 1010 Wien",25020
2008,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Steirischer Presseclub,Bürgergasse 2 8010 Graz,7506
2008,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Verband der Agrarjournalisten und -publizisten in Österreich (VAÖ),Schauflergasse 6 1014 Wien,"1000,8"
2008,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Verband der Auslandspresse Wien,Bartensteingasse 13/12 Wien 1010 Wien,"1000,8"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Badener Zeitung,Verlag Rudolf M. Rohrer Wassergasse 1 2500 Baden bei Wien,10000
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Braunauer Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau",6000
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,BVZ - Burgenländische Volkszeitung,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,"46891,4"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,martinus - Eisenstädter Kirchenzeitung,Diözese Eisenstadt -Pastoralamt St. Rochusstr. 21 7000 Eisenstadt,"84851,2"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Der Ennstaler,Wallig GMBH Ennstaler Druckerei und Verlag Mitterbergstraße 36 8962 Gröbming,10000
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Falter,Falter Zeitschriftengesellschaft m.b.H. Marc-Aurel-Straße 9 1010 Wien,"80268,5"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Format,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,"35026,3"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Die Furche,Die Furche ZeitschriftenbetriebsgesmbH & Co KG Lobkowitzplatz 1 1010 Wien,"87084,1"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Die ganze Woche,Die ganze Woche Ges.m.b.H. Heiligenstädter Straße 121 1190 Wien,89317
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,GLASNIK – Crikvene novine Zeljezanske biskupije,"Diözese Eisenstadt, Kroatische Sektion des Pastoralamtes St. Rochusstraße 21 7000 Eisenstadt","14897,8"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Hrvatske Novine,Kroatischer Presseverein Hotterweg 54 7000 Eisenstadt,"10507,9"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Kärntner Nachrichten,A.B.C. Werbeagentur Ges.m.b.H. Kohldorferstraße 98/1.Stock 9020 Klagenfurt,53634
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Kirche bunt - St. Pöltner Kirchenzeitung,Kirchenblatt für die Diözese St. Pölten Gutenbergstr. 12 3100 St. Pölten,"71453,6"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,KirchenBlatt,Diözese Feldkirch Bahnhofstraße 13 6800 Feldkirch,"75087,6"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Kirchenzeitung der Diözese Linz,"Kirchenzeitung Diözese Linz Kapuzinerstraße 84 4020 Linz, Donau",89317
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Kitzbüheler Anzeiger,Kitzbüheler Anzeiger Ges.m.b.H. Im Gries 23 6370 Kitzbühel,10000
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Murtaler Zeitung,Murtaler Zeitung GmbH. & Co KGMurtaler Platz 18750 Judenburg,8000
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Mühlviertler Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau",8000
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Nedelja – Slowenische Kirchenzeitung der Diözese Gurk,Bischöfliches Seelsorgeamt Viktringer Ring 26 9020 Klagenfurt,"16929,4"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Neue Freie Zeitung,Freiheitliche Partei Österreichs (FPÖ) Friedrich Schmidt Platz 4/3A 1080 Wien,"43636,9"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Neues Land,Neues Land Medien GesmbH Reitschulgasse 3 8010 Graz,89317
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,NEWS,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,"53590,2"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,NÖ-Rundschau,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,keine Förderung wegen Einstellung der Zeitung (§ 14 Abs.2 PresseFG 2004)
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,NÖN,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,89317
