Jahr,Förderung,Medium/Fördernehmer,Verleger,Förderbetrag
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Salzburger Nachrichten,Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40 5020 Salzburg,"18.655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Der Standard,Standard Verlagsgesellschaft m.b.H. Herrengasse 19-21 1010 Wien,"15.070,00"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),SVZ Salzburger Volkszeitung,Salzburger Volkszeitung GmbH & Co KG Bergstraße 12 5020 Salzburg,"18.655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Tiroler Tageszeitung,Schlüsselverlag J.S. Moser GmbH. Ing.-Etzel-Straße 30 6020 Innsbruck,"18.655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Vorarlberger Nachrichten,"Eugen Ruß, Vbg. Zeitungsverlag u. Druckerei GmbH Gutenbergstr. 1 6858 Schwarzach","4.500,00"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),BVZ - Burgenländische Volkszeitung,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,"18.655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Kirchenzeitung der Diözese Linz,"Kirchenzeitung Diözese Linz Kapuzinerstraße 84 4020 Linz, Donau","18.655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),NEWS,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,"8.203,62"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),NÖN,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,"9.000,00"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),OÖ Rundschau - Braunauer Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau",keine anrechenbaren Kosten
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),OÖ Rundschau - Mühlviertler Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau","7.907,00"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),OÖ Rundschau - Rieder Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau","6.976,80"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),OÖ Rundschau - Steyrer Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau","1.395,30"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),OÖ Rundschau - Vöcklabrucker Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau","3.720,90"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),Salzburger Woche,Salzburger Woche Verlangs GmbH Ing. Ludwig-Pech-Str. 1 5600 St. Johann im Pongau,"18.655,04"
2008,Qualitätsförderung und Zukunftssicherung – 1. Förderung gemäß § 10 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten der Ausbildung von Nachwuchsjournalisten),tv media,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,"18.655,04"
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Art & Media Zeitschriftenverlags GmbH & Co KG,Promenade 23 4010 Linz,"abgelehnt, da es sich nicht um eine Vereinigung der Journalistenausbildung im Sinne des § 10 Abs.2 handelt"
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Friedrich Austerlitz-Institut für JournalistInnenausbildung,Löwelstraße 18 1014 Wien,"6.220,80"
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,"Friedrich Funder Institut für Publizistik, Medienforschung und Journalistenausbildung",Tivoligasse 73 1120 Wien,"19.996,20"
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,GESPU - Gesellschaft für Publizistik und Medienforschung,Alfred-Dallinger-Platz 1 1030 Wien,"37.552,60"
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Katholische Medien Akademie,Schottengasse 3/7/39 1010 Wien,"61.334,40"
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,"M-MEDIA, Verein zur Förderung interkultureller Medienarbeit",Graumanngasse 7-D-1 1150 Wien,"5.000,00"
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,Österreichische Medienakademie - Kuratorium für Journalistenausbildung,Karolingerstraße 40 5020 Salzburg,"455.364,00"
2008,Qualitätsförderung und Zukunftssicherung – 2. Förderung von Vereinigungen der Journalistenausbildung gemäß § 10 Abs. 2 PresseFG 2004,OÖ Journalistenakademie,Hafenstraße 1-3 4020 Linz,"65.052,00"
2008,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Kleine Zeitung Steiermark und Kärnten,Kleine Zeitung GmbH & Co KG Schönaugasse 64 8010 Graz,"40.000,00"
2008,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Kurier,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,"40.000,00"
2008,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Die Presse,Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33 1030 Wien,"40.000,00"
2008,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Salzburger Nachrichten,Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40 5020 Salzburg,"40.000,00"
2008,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Der Standard,Standard Verlagsgesellschaft m.b.H. Herrengasse 19-21 1010 Wien,"9.577,00"
2008,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),WirtschaftsBlatt,WirtschaftsBlatt Verlag AG Geiselbergstraße 15/1 1110 Wien,"38.166,00"
2008,Qualitätsförderung und Zukunftssicherung – 3. Förderung gemäß § 11 Abs. 1 PresseFG 2004 (Zuschuss zu den Kosten angestellter Auslandskorrespondenten),Tiroler Tageszeitung,Schlüsselverlag J.S. Moser GmbH. Ing.-Etzel-Straße 30 6020 Innsbruck,"40.000,00"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z1 PresseFG 2004",Verein Zeitung in der Schule (ZIS),Verein zur Förderung der Nutzung von Zeitungen in der Schule Wipplingerstraße 15 1010 Wien,"187.953,00"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Kleine Zeitung Steiermark und Kärnten,Kleine Zeitung GmbH & Co KG Schönaugasse 64 8010 Graz,"18.323,80"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Kurier,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,"22.256,10"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Neue Kärntner Tageszeitung,Kärntner Druck- und Verlagsges.m.b.H. Viktringer Ring 28 9020 Klagenfurt,"297,40"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Neue Kronenzeitung,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2 1190 Wien,"18.349,80"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Neue Vorarlberger Tageszeitung,"Zeitungs- und Verlagsges.m.b.H. Gutenbergstraße 1 6858 Schwarzach, Vorarlberg","306,70"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Neues Volksblatt,"OÖ Media Data Vertriebs- und Verlagsges.m.b.H. Hafenstraße 1-3 4010 Linz, Donau","1.947,00"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",OÖ Nachrichten,"OÖN Redaktion GmbH & CO KG Promenade 23 4020 Linz, Donau","18.107,60"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Die Presse,Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburger Straße 33 1030 Wien,"19.160,70"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Salzburger Nachrichten,Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40 5020 Salzburg,"25.692,90"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Der Standard,Standard Verlagsgesellschaft m.b.H. Herrengasse 19-21 1010 Wien,"30.771,20"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",SVZ Salzburger Volkszeitung,Salzburger Volkszeitung GmbH & Co KG Bergstraße 12 5020 Salzburg,"4.609,20"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Tiroler Tageszeitung,Schlüsselverlag J.S. Moser GmbH. Ing.-Etzel-Straße 30 6020 Innsbruck,"35.036,80"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Vorarlberger Nachrichten,"Eugen Ruß, Vbg. Zeitungsverlag u. Druckerei GmbH Gutenbergstr. 1 6858 Schwarzach, Vorarlberg","4.261,20"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",BVZ - Burgenländische Volkszeitung,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,"96,50"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Falter,Falter Zeitschriftengesellschaft m.b.H. Marc-Aurel-Straße 9 1010 Wien,"353,00"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Die Furche,Die Furche ZeitschriftenbetriebsgesmbH & Co KG Lobkowitzplatz 1 1010 Wien,"9.393,70"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Hrvatske Novine,Kroatischer Presseverein Hotterweg 54 7000 Eisenstadt,"566,40"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Kirchenzeitung der Diözese Linz,"Kirchenzeitung Diözese Linz Kapuzinerstraße 84 4020 Linz, Donau","1.768,50"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",NÖ-Rundschau,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,keine Förderung wegen Einstellung der Zeitung (§ 14 Abs.2 PresseFG 2004)
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",NÖN,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,"1.913,10"
2008,"Qualitätsförderung und Zukunftssicherung – 4. ""Leseförderung"" gemäß § 11 Abs. 2 Z2 PresseFG 2004",Osttiroler Bote,"Osttiroler Bote Medienunternehmen Ges.m.b.H. Schweizergasse 26 9900 Lienz, Osttirol","87,00"
2008,Qualitätsförderung und Zukunftssicherung – 5. Förderung von Forschungsprojekten gemäß § 11 Abs. 3 PresseFG 2004,Konvergenz in Österreichs Zeitungen – Transfer internationaler Forschungs- ergebnisse und Evaluierung crossmedialer Strategien in österreichischen Verlags- häusern,Medienhaus Wien – Forschung und Weiterbildung GmbH Alser Straße 22/8 1090 Wien,"20.000,00"
2008,Qualitätsförderung und Zukunftssicherung – 5. Förderung von Forschungsprojekten gemäß § 11 Abs. 3 PresseFG 2004,Österreichs Tageszeitungen im Web 2.0 – Web 2.0- und User- generated-content-Angebote österreichischer Tageszeitungen. Eine empirische Analyse der Content-Qualität und des Nutzeraktivierungspotenzials,Privatdozent Dr. Stefan Weber Schopperstraße 10 5020 Salzburg,"kein Beitrag zum Fortschritt auf dem Gebiet des Pressewesens und zur Qualitätssicherung erwart- bar, da sich das geplante Vorhaben auf einen Themenbereich bezieht, der allenfalls einen Nebenaspekt des im Presseförderungsgesetz als zentraler gegenstand Bereichs berührt Untersuchungs- geforderten Pressewesen"
2008,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Klub der Wirtschaftspublizisten,Bauernmarkt 6/7 1010 Wien,"3.002,40"
2008,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Oberösterreichischer Presseclub,"Landstraße 31, Ursulinenhof 4020 Linz","9.507,60"
2008,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Presseclub Carinthia,Bahnhofstraße 42/4. Stock 9020 Klagenfurt,"3.002,40"
2008,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Presseclub Concordia,"Bankgasse 8, Concordia-Haus 1010 Wien","25.020,00"
2008,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Steirischer Presseclub,Bürgergasse 2 8010 Graz,"7.506,00"
2008,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Verband der Agrarjournalisten und -publizisten in Österreich (VAÖ),Schauflergasse 6 1014 Wien,"1.000,80"
2008,Qualitätsförderung und Zukunftssicherung – 6. Förderung von Presseclubs gemäß § 11 Abs. 4 PresseFG 2004,Verband der Auslandspresse Wien,Bartensteingasse 13/12 Wien 1010 Wien,"1.000,80"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Badener Zeitung,Verlag Rudolf M. Rohrer Wassergasse 1 2500 Baden bei Wien,"10.000,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Braunauer Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau","6.000,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,BVZ - Burgenländische Volkszeitung,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,"46.891,40"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,martinus - Eisenstädter Kirchenzeitung,Diözese Eisenstadt -Pastoralamt St. Rochusstr. 21 7000 Eisenstadt,"84.851,20"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Der Ennstaler,Wallig GMBH Ennstaler Druckerei und Verlag Mitterbergstraße 36 8962 Gröbming,"10.000,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Falter,Falter Zeitschriftengesellschaft m.b.H. Marc-Aurel-Straße 9 1010 Wien,"80.268,50"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Format,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,"35.026,30"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Die Furche,Die Furche ZeitschriftenbetriebsgesmbH & Co KG Lobkowitzplatz 1 1010 Wien,"87.084,10"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Die ganze Woche,Die ganze Woche Ges.m.b.H. Heiligenstädter Straße 121 1190 Wien,"89.317,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,GLASNIK – Crikvene novine Zeljezanske biskupije,"Diözese Eisenstadt, Kroatische Sektion des Pastoralamtes St. Rochusstraße 21 7000 Eisenstadt","14.897,80"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Hrvatske Novine,Kroatischer Presseverein Hotterweg 54 7000 Eisenstadt,"10.507,90"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Kärntner Nachrichten,A.B.C. Werbeagentur Ges.m.b.H. Kohldorferstraße 98/1.Stock 9020 Klagenfurt,"53.634,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Kirche bunt - St. Pöltner Kirchenzeitung,Kirchenblatt für die Diözese St. Pölten Gutenbergstr. 12 3100 St. Pölten,"71.453,60"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,KirchenBlatt,Diözese Feldkirch Bahnhofstraße 13 6800 Feldkirch,"75.087,60"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Kirchenzeitung der Diözese Linz,"Kirchenzeitung Diözese Linz Kapuzinerstraße 84 4020 Linz, Donau","89.317,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Kitzbüheler Anzeiger,Kitzbüheler Anzeiger Ges.m.b.H. Im Gries 23 6370 Kitzbühel,"10.000,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Murtaler Zeitung,Murtaler Zeitung GmbH. & Co KGMurtaler Platz 18750 Judenburg,"8.000,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Mühlviertler Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau","8.000,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Nedelja – Slowenische Kirchenzeitung der Diözese Gurk,Bischöfliches Seelsorgeamt Viktringer Ring 26 9020 Klagenfurt,"16.929,40"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Neue Freie Zeitung,Freiheitliche Partei Österreichs (FPÖ) Friedrich Schmidt Platz 4/3A 1080 Wien,"43.636,90"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Neues Land,Neues Land Medien GesmbH Reitschulgasse 3 8010 Graz,"89.317,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,NEWS,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,"53.590,20"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,NÖ-Rundschau,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,keine Förderung wegen Einstellung der Zeitung (§ 14 Abs.2 PresseFG 2004)
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,NÖN,Niederösterreichisches Pressehaus Druck- und Verlagsges.m.b.H. Gutenbergstraße 12 3100 St. Pölten,"89.317,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,NOVICE,Slomedia GmbH Tarviser Straße 16 9020 Klagenfurt,"31.261,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,OÖ Nachrichten,Aichfelder Zeitungsverlag KG Wiener Straße 19 8720 Knittelfeld,abgelehnt wegen der Nichterfüllung der Förderungsvoraussetzungen gemäß § 2 Abs.1 Z 5 PresseFG 2004
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Österreichische BauernZeitung,Agrar Media Verlagsgesellschaft mbH. Sturzgasse 1a 1140 Wien,"89.317,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Osttiroler Bote,"Osttiroler Bote Medienunternehmen Ges.m.b.H. Schweizergasse 26 9900 Lienz, Osttirol","10.000,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Profil,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,"72.854,70"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Raiffeisenzeitung,Raiffeisen Media GmbHFriedrich- Wilhelm-Raiffeisen-Platz 1 1020 Wien,"78.809,10"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Rieder Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau","10.000,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Rupertusblatt - Kirchenzeitung der Erzdiözese Salzburg,Ordinariat der Erzdiözese Salzburg Kapitelplatz 2 5020 Salzburg,"81.523,70"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Salzburger Woche,Salzburger Woche Verlags GesmbH Ing. Ludwig-Pech-Str. 1 5600 St. Johann im Pongau,"89.317,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Seitenblicke,Bull Verlags GmbH Heinrich-Collin-Straße 1 1140 Wien,abgelehnt wegen der Nichterfüllung der Förderungsvoraussetzungen gemäß § 2 Abs.1 Z 1 PresseFG 2004
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Der Sonntag,Wiener Domverlag Ges.m.b.H. Stephansplatz 4/6/DG 1010 Wien,"84.851,20"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Der Sonntag - Kärntner Kirchenzeitung,Diözese Gurk – Seelsorgeamt Tarviser Straße 30 9020 Klagenfurt,"51.444,80"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Sonntagsblatt für Steiermark,"Bischöfliches Ordinariat, Diözese Graz- Seckau Bischofsplatz 4 8010 Graz","89.317,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Sportwoche,Sportmagazin GmbH & Co KG Kaiserstraße 113-115 1070 Wien,"26.795,10"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Sportzeitung,Sportzeitung Verlags-GmbH Linke Wienzeile 40/22 1060 Wien,"2.232,90"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,SPÖ-aktuell,Sozialdemokratische Partei Österreichs Löwelstr. 18 1014 Wien,"55.166,40"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Steyrer Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau","4.000,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,tv media,Verlagsgruppe NEWS Gesellschaft m.b.H. Taborstrasse 1-3 1020 Wien,"91.068,30"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Tiroler Sonntag - Kirchenzeitung der Diözese Innsbruck,Diözese Innsbruck Bischöfliches Ordinariat Wilhelm-Greil-Strasse 7 6020 Innsbruck,"88.572,70"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Vöcklabrucker Rundschau,"OÖ Rundschau GmbH Hafenstr. 1-3 4020 Linz, Donau","2.000,00"
2008,Vertriebsförderung für Wochenzeitungen gemäß dem Abschnitt II PresseFG 2004,Zur Zeit - Die Wochenzeitung für Österreich,W 3 Verlagsges.m.b.H. Engelsberggasse 4 1030 Wien,"39.842,40"
2008,Besondere Förderung zur Erhaltung der regionalen Vielfalt der Tageszeitungen gemäß dem Abschnitt III PresseFG 2004,Format,Verlagsgruppe NEWS GmbH Taborstraße 1-3 1020 Wien,abgelehnt wegen Nichterfüllung der Förderungsvoraussetzung gemäß § 8 in Verbindung mit § 2 Abs.1 Z 2 PresseFG 2004
