Jahr,Organisation,Betrag
2012,Junge Liberale NEOS - JUNOS,0
2013,Junge Liberale NEOS - JUNOS,0
2014,Junge Liberale NEOS - JUNOS,"67138,3"
2015,Junge Liberale NEOS - JUNOS,"67138,3"
2005,Junge ÖVP,479641
2006,Junge ÖVP,479641
2007,Junge ÖVP,"436037,3"
2008,Junge ÖVP,"436037,3"
2009,Junge ÖVP,"394166,3"
2010,Junge ÖVP,"394166,3"
2011,Junge ÖVP,"394166,3"
2012,Junge ÖVP,"394166,3"
2013,Junge ÖVP,"394166,3"
2014,Junge ÖVP,"343295,3"
2015,Junge ÖVP,"343295,3"
2005,Katholische Jugend Österr.,"290691,4"
2006,Katholische Jugend Österr.,"290691,4"
2007,Katholische Jugend Österr.,"290681,4"
2008,Katholische Jugend Österr.,"290691,4"
2009,Katholische Jugend Österr.,"299691,4"
2010,Katholische Jugend Österr.,"299691,4"
2011,Katholische Jugend Österr.,"299691,4"
2012,Katholische Jugend Österr.,"299691,4"
2013,Katholische Jugend Österr.,"299691,4"
2014,Katholische Jugend Österr.,"299691,4"
2015,Katholische Jugend Österr.,"299691,4"
2005,Katholische Jungschar Österr.,"290691,4"
2006,Katholische Jungschar Österr.,"290691,4"
2007,Katholische Jungschar Österr.,"290691,4"
2008,Katholische Jungschar Österr.,"290691,4"
2009,Katholische Jungschar Österr.,"299691,4"
2010,Katholische Jungschar Österr.,"299691,4"
2011,Katholische Jungschar Österr.,"299691,4"
2012,Katholische Jungschar Österr.,"299691,4"
2013,Katholische Jungschar Österr.,"299691,4"
2014,Katholische Jungschar Österr.,"299691,4"
2015,Katholische Jungschar Österr.,"299690,7"
2005,Mittelschüler - Kartellverband,"72672,8"
2006,Mittelschüler - Kartellverband,"72672,8"
2007,Mittelschüler - Kartellverband,"72672,8"
2008,Mittelschüler - Kartellverband,"72672,8"
2009,Mittelschüler - Kartellverband,"81672,8"
2010,Mittelschüler - Kartellverband,"81672,8"
2011,Mittelschüler - Kartellverband,"81672,8"
2012,Mittelschüler - Kartellverband,"81672,8"
2013,Mittelschüler - Kartellverband,"81672,8"
2014,Mittelschüler - Kartellverband,"81672,8"
2015,Mittelschüler - Kartellverband,"81672,8"
2005,Muslimische Jugend Österr.,3000
2006,Muslimische Jugend Österr.,"29069,2"
2007,Muslimische Jugend Österr.,"29069,2"
2008,Muslimische Jugend Österr.,"72672,8"
2009,Muslimische Jugend Österr.,"154345,6"
2010,Muslimische Jugend Österr.,"154345,6"
2011,Muslimische Jugend Österr.,"154345,6"
2012,Muslimische Jugend Österr.,"154345,6"
2013,Muslimische Jugend Österr.,"154345,6"
2014,Muslimische Jugend Österr.,"154345,6"
2015,Muslimische Jugend Österr.,"154345,6"
2005,Naturfreundejugend Österr.,"145345,6"
2006,Naturfreundejugend Österr.,"145345,6"
2007,Naturfreundejugend Österr.,"145345,6"
2008,Naturfreundejugend Österr.,"145345,6"
2009,Naturfreundejugend Österr.,"154345,6"
2010,Naturfreundejugend Österr.,"154345,6"
2011,Naturfreundejugend Österr.,"154345,6"
2012,Naturfreundejugend Österr.,"154295,6"
2013,Naturfreundejugend Österr.,"154345,6"
2014,Naturfreundejugend Österr.,"154345,6"
2015,Naturfreundejugend Österr.,"154345,6"
2005,Österr. Alpenvereinsjugend,"290691,4"
2006,Österr. Alpenvereinsjugend,"290691,4"
2007,Österr. Alpenvereinsjugend,"290695,7"
2008,Österr. Alpenvereinsjugend,"290691,4"
2009,Österr. Alpenvereinsjugend,"299691,4"
2010,Österr. Alpenvereinsjugend,"299691,4"
2011,Österr. Alpenvereinsjugend,"299691,4"
