Jahr;Organisation;Betrag
2015;Muslimische Jugend Österr.;154345.60
2005;Naturfreundejugend Österr.;145345.60
2006;Naturfreundejugend Österr.;145345.60
2007;Naturfreundejugend Österr.;145345.60
2008;Naturfreundejugend Österr.;145345.60
2009;Naturfreundejugend Österr.;154345.60
2010;Naturfreundejugend Österr.;154345.60
2011;Naturfreundejugend Österr.;154345.60
2012;Naturfreundejugend Österr.;154295.60
2013;Naturfreundejugend Österr.;154345.60
2014;Naturfreundejugend Österr.;154345.6
2015;Naturfreundejugend Österr.;154345.60
2005;Österr. Alpenvereinsjugend;290691.40
2006;Österr. Alpenvereinsjugend;290691.40
2007;Österr. Alpenvereinsjugend;290695.70
2008;Österr. Alpenvereinsjugend;290691.40
2009;Österr. Alpenvereinsjugend;299691.40
2010;Österr. Alpenvereinsjugend;299691.40
2011;Österr. Alpenvereinsjugend;299691.40
2012;Österr. Alpenvereinsjugend;299691.40
2013;Österr. Alpenvereinsjugend;299691.40
2014;Österr. Alpenvereinsjugend;297695.7
2015;Österr. Alpenvereinsjugend;299691.40
2005;Österr. Blasmusikjugend;290691.40
2006;Österr. Blasmusikjugend;290691.40
2007;Österr. Blasmusikjugend;290691.40
2008;Österr. Blasmusikjugend;290691.40
2009;Österr. Blasmusikjugend;299691.40
2010;Österr. Blasmusikjugend;299691.40
2011;Österr. Blasmusikjugend;299691.40
2012;Österr. Blasmusikjugend;299691.40
2013;Österr. Blasmusikjugend;299691.40
2014;Österr. Blasmusikjugend;299691.4
2015;Österr. Blasmusikjugend;299691.40
2005;Österr. Bundesjugendvertretung;445003.13
2006;Österr. Bundesjugendvertretung;497955.08
2007;Österr. Bundesjugendvertretung;411780.00
2008;Österr. Bundesjugendvertretung;323222.75
2009;Österr. Bundesjugendvertretung;0.00
2010;Österr. Bundesjugendvertretung;0.00
2011;Österr. Bundesjugendvertretung;2500.00
2012;Österr. Bundesjugendvertretung;0.00
2013;Österr. Bundesjugendvertretung;0.00
2014;Österr. Bundesjugendvertretung;0.00
