Jahr,Name_Zeitschrift,Name_Zeitschrift_clean,Förderungswerber,Förderungsbetrag,Nicht_gefördert
2015,VCÖ-MAGAZIN,VCÖ-Magazin,"VCÖ-Mobilität mit Zukunft Bräuhausgasse 7-9, 1050 Wien",,Nicht gefördert
2015,WIR SIND KIRCHE,WIR SIND KIRCHE,"Plattform ""Wir sind Kirche"" - Dr. Martha Heizer Feldweg 14, 6067 Absam",,Nicht gefördert
2014,"ACADEMIA – Zeitschrift für Politik, Wirtschaft, Religion, Kultur","ACADEMIA – Zeitschrift für Politik, Wirtschaft, Religion, Kultur","ÖCV und ÖAHB Lerchenfelderstraße 14, 1080 Wien","4662,86",
2014,AEP-Informationen Feministische Zeitschrift für Politik und Gesellschaft,AEP-Informationen Feministische Zeitschrift für Politik und Gesellschaft,"Arbeitskreis Emanzipation und Partnerschaft (AEP) Schöpfstraße 19, 6020 Innsbruck","4662,86",
2014,AKIN,AKIN,"FÖJ – Bewegung für Sozialismus Belvederegasse 10, 1040 Wien","4662,86",
2014,ALFRED KLAHR GESELLSCHAFT. MITTEILLUNGEN,ALFRED KLAHR GESELLSCHAFT. MITTEILUNGEN,"Alfred Klahr Gesellschaft Drechslergasse 42, 1140 Wien",1360,
2014,Die ALTERNATIVE,Die ALTERNATIVE,"Alternative und Grüne GewerkschafterInnen – AUGE/UG Belvederegasse 10, 1040 Wien","4662,86",
2014,AMT UND GEMEINDE,AMT UND GEMEINDE,"Evangelische Kirche A.B. in Österreich Severin-Schreiber-Gasse 3, 1180 Wien","4662,86",
2014,Der APFEL - Zeitschrift des Österreichischen Frauenforums Feministische Theologie,Der APFEL - Zeitschrift des Österreichischen Frauenforums Feministische Theologie,"Österreichisches Frauenforum Feministische Theologie Baum 1, 4480 Berg im Attergau","4662,86",
2014,Die ARBEIT,Die ARBEIT,"Gewerkschaftlicher Linksblock Hugogasse 8, 1110 Wien",2040,
2014,ASYL AKTUELL,ASYL AKTUELL,"Asylkoordination Österreich Burggasse 81/7, 1070 Wien","4662,86",
2014,BALLESTERER,BALLESTERER. fm Fußballmagazin,"Ballesterer Zeitschriftenverlag GmbH Porzellangasse 11/69, 1090 Wien","7771,43",
2014,BANANENBLATT - Satire und Komische Kunst,BANANENBLATT - Satire und Komische Kunst,"Komische Künste Verlagsges.m.b.H. Museumsquartier, Museumsplatz 1, 1070 Wien",1360,
2014,BEDROHTE VÖLKER,BEDROHTE VÖLKER,"Gesellschaft für bedrohte Völker Österreich Untere Viaduktg. 53/7A, 1030 Wien","4662,86",
2014,"BEHINDERTE MENSCHEN Zeitschrift für gemeinsames Leben, Lernen und Arbeiten",BEHINDERTE MENSCHEN,"Verein Initiativ für behinderte Kinder und Jugendliche Alberstraße 8, 8010 Graz","9325,71",
2014,BIZEPS INFO,BIZEPS INFO,"Bizeps - Zentrum für Selbstbestimmtes Leben Schönngasse 15-17/4, 1020 Wien",1360,
2014,CUBA SI,CUBA SI,"Österreichisch-Kubanische Gesellschaft Seisgasse 1, 1040 Wien","4662,86",
2014,DIALOG – Du Siach Christlich-jüdische Informationen,DIALOG – Du Siach Christlich-jüdische Informationen,"Koordinierungsausschuss für christlich- jüdische Zusammenarbeit Tandelmarktgasse 5/2-4, 1020 Wien","4662,86",
2014,EFA,EFA,"Evangelische Frauenarbeit in Österreich Blumengasse 4/6, 1180 Wien","4662,86",
2014,EHE UND FAMILIEN,EHE UND FAMILIEN,"Katholischer Familienverband Spiegelgasse 3/3/9, 1010 Wien","4662,86",
2014,FREIDENKER/IN - Organ des österreichischen Freidenkerbundes,FREIDENKER/IN - Organ des österreichischen Freidenkerbundes,Freidenkerbund Österreichs 1153 Wien,1360,
2014,Der FUNKE,Der FUNKE,"Verein Gesellschaft und Politik Lustkandlgasse 10/1, 1090 Wien","4662,86",
2014,GEDENKDIENST,GEDENKDIENST,"Gedenkdienst Margaretenstraße 166, 1050 Wien","4662,86",
2014,GIFT - Zeitschrift für freies Theater,GIFT - Zeitschrift für freies Theater,"IG Freie Theaterarbeit Gumpendorferstraße 63B, 1060 Wien","4662,86",
2014,GLOBAL VIEW,GLOBAL View,"Akademisches Forum für Außenpolitik Johannesgasse 2/2/32, 1010 Wien","4662,86",
2014,GRUNDRISSE Zeitschrift für Linke Theorie & Debatte,GRUNDRISSE Zeitschrift für Linke Theorie & Debatte,"Verein für Sozialwissenschaftliche Forschung Weißgasse 4, 1170 Wien","4662,86",
2014,HISTORISCHE SOZIALKUNDE,HISTORISCHE SOZIALKUNDE,"Verein für Geschichte und Sozialkunde Universitätsring 1, 1010 Wien","4662,86",
2014,INDABA - Das SADOCC-Magazin für das Südliche Afrika,INDABA - Das SADOCC-Magazin für das Südliche Afrika,"Dokumentations- und Kooperations-zentrum Südliches Afrika Favoritenstraße 38/18/1, 1040 Wien","4662,86",
2014,INTERNATIONAL - Zeitschrift für internationale Politik,INTERNATIONAL - Zeitschrift für internationale Politik,"Verein Arbeitsgemeinschaft für internationale Publizistik Laaer Berg Straße 43/5. Stock, 1100 Wien","4662,86",
2014,JOHANN WILHELM KLEIN,JOHANN WILHELM KLEIN,"Leihbücherei, Druckerei und Lehrmittel- verlag des Bundes-Blindenerziehungs- institutes Wittelsbachstraße 5, 1020 Wien",2040,
2014,JOURNAL für SCHULENTWICKLUNG,JOURNAL für SCHULENTWICKLUNG,"StudienVerlag GmbH Erlerstraße 10, 6020 Innsbruck","4662,86",
2014,JUNGE GEMEINDE,JUNGE GEMEINDE,"Evangelische Jugend Österreich Hamburgerstraße 3/ 2. OG, 1050 Wien","4662,86",
2014,JURIDIKUM - Zeitschrift für Kritik/Recht/Gesellschaft,JURIDIKUM - Zeitschrift für Kritik/Recht/Gesellschaft,"Verlag Österreich GmbH Bäckerstraße 1, 1010 Wien","4662,86",
2014,KIRCHE IN,KIRCHE IN,"Rudolf Schermann Keplergasse 8, 1100 Wien","9325,71",
2014,KIRCHE IN BEWEGUNG,KIRCHE IN BEWEGUNG (vormals: Altkatholische Kirchenzeitung),"Altkatholische Kirche Österreichs Schottenring 17/1/3/12, 1010 Wien","4662,86",
2014,Der KONAK,Der KONAK,"Forschungs- und Kulturverein für Kontinentalamerika und die Karibik Arthaberplatz 4/4, 1100 Wien",1360,
2014,KONTRASTE Presse- und Informationsdienst für Sozialpolitik,KONTRASTE - Presse- und Informationsdienst für Sozialpolitik,"Sozialwissenschaftliche Vereinigung Altenbergerstraße 69, 4040 Linz","4662,86",
2014,KRITISCHES CHRISTENTUM,KRITISCHES CHRISTENTUM,"Aktion Kritisches Christentum Mühlgasse 25/5, 1040 Wien",1360,
2014,KURSWECHSEL,KURSWECHSEL,"Sonderzahl Verlagsges. mbH Große Neugasse 35/15, 1040 Wien","7771,43",
2014,LAMBDA - Nachrichten,LAMBDA - Nachrichten,"Homosexuelle Initiative (HOSI) Wien Heumühlgasse 14/1, 1040 Wien","4662,86",
2014,LATEINAMERIKA ANDERS,LATEINAMERIKA ANDERS,"Informationsgruppe Lateinamerika (IGLA) c/o WUK Währingerstraße 59, 1090 Wien","4662,86",
2014,MALMOE,MALMOE,"Verein zur Förderung medialer Vielfalt und Qualität Kettenbrückengasse 23/3/1, 1050 Wien","6217,14",
2014,MEDIEN & ZEIT,MEDIEN & ZEIT,"Arbeitskreis für historische Kommunikationsforschung (AHK) Währingerstraße 29, 1090 Wien","6217,14",
2014,MEDIEN JOURNAL,MEDIEN JOURNAL,"Österreichische Gesellschaft für Kommunikationswissenschaft – ÖGK Rudolfskai 42, 5020 Salzburg","6217,14",
2014,MITEINANDER,MITEINANDER – Welt und geistliche Berufung,"Kirchliches Institut Canisiuswerk – Zentrum für geistliche Berufe Stephansplatz 6, 1010 Wien","4662,86",
2014,NACHRICHTEN und Stellungnahmen der Katholischen Sozialakademie Österreichs,NACHRICHTEN und Stellungnahmen der Katholischen Sozialakademie Österreichs,"Katholische Sozialakademie Österreich Schottenring 35/DG, 1010 Wien","4662,86",
2014,Der NEUE MERKER,Der NEUE MERKER,"Merker Verein, Dr. Sieglinde Pfabigan Peitlgasse 7/3/4, 1210 Wien","4662,86",
2014,NICARAGUA – Nachrichten,NICARAGUA – Nachrichten,"ARGE für Informationen über Nicaragua Hauptstraße 69, 3494 Brunn im Felde",1360,
2014,NU - Jüdisches Magazin für Politik und Kultur,NU - News über uns,"Verein Arbeitsgemeinschaft Jüdisches Forum Gölsdorfgasse 3, 1010 Wien","7771,43",
2014,ÖGL - Österreich in Geschichte und Literatur mit Geographie,ÖGL – Österreich in Geschichte und Literatur mit Geographie,"Institut für Österreichkunde Hanuschgasse 3, 1010 Wien","4662,86",
