Kulturschutzgut;Bundesland;Politischer Bezirk;Gemeinde;Kastralgemeinde;UTM;Lat;Long
Maria Saal;Kärnten;Klagenfurt Land ;Maria Saal ;Maria Saal (72140) ;UTM 33 ;450028,45 ;5171030,12 
Denkmalanlage Stift Göttweig;Niederösterreich;Krems ;Furth bei Göttweig ;Göttweig (12156) ;UTM 33 ;545398,00 ;5357228,00 
Knappenberg;Kärnten;Sankt Veit an der Glan ;Hüttenberg ;Knappenberg (74116) ;UTM 33 ;466790,11 ;5198143,12 
Denkmalanlage Burg Lockenhaus;Burgenland;Oberpullendorf ;Lockenhaus ;Lockenhaus (33032) ;UTM 33 ;607472,36 ;5251025,68 
Denkmalanlage Feste Kufstein;Tirol;Kufstein ;Kufstein ;Kufstein (83008) ;UTM 32 ;738213,00 ;5274459,00 
Ensemble Heiligenbrunn;Burgenland;Güssing ;Heiligenbrunn ;Heiligenbrunn (31018) ;UTM 33 ;607554,25 ;5209434,78 
Denkmalanlage Schloss Rosenburg;Niederösterreich;Horn ;Rosenburg-Mold ;Rosenburg (10054) ;UTM 33 ;546789,00 ;5386316,00 
Ensemble Eggenburg Stadtzentrum;Niederösterreich;Horn ;Eggenburg ;Eggenburg (10106) ;UTM 33 ;560162,00 ;5388075,00 
Spittal an der Drau;Kärnten;Spittal an der Drau ;Spittal an der Drau ;Spittal an der Drau (73419) ;UTM 33 ;385211,27 ;5183789,33 
Ensemble Pulkau;Niederösterreich;Hollabrunn ;Pulkau ;Pulkau (18121) ;UTM 33 ;563278,00 ;5395063 
Denkmalanlage Stift Melk;Niederösterreich;Melk ;Melk ;Melk (14143);UTM 33 ;524764,00 ;5341840,00 
Hallein;Salzburg;Hallein ;Hallein ;Dürnberg (56204) ;UTM 33 ;356605,90 ;5280898,70 
Denkmalanlage Stift Ossiach;Kärnten;Feldkirch ;Ossiach ;Ossiach (72323) ;UTM 33 ;422171,39 ;5169765,02 
Denkmalanlage Franziskanerkloster Schwaz;Tirol;Schwaz ;Schwaz ;Schwaz (87007) ;UTM 32 ;704768,00 ;5246939,00 
Denkmalanlage Wallfahrtskirche Maria Saal;Kärnten;Klagenfurt Land ;Maria Saal ;Maria Saal (72140) ;UTM 33 ;450009,57 ;5169941,68 
Ensemble Stadtschlaining;Burgenland;Oberwart ;Stadtschlaining ;Stadtschlaining (34078) ;UTM 33 ;596586,86 ;5241956,77 
Ensemble Grein;Oberösterreich;Perg ;Grein ;Grein (43005) ;UTM 33 ;489214,00 ;5341608,00 
Stift Neuberg an der Mürz;Steiermark;Bruck- Mürzzuschlag ;Neuberg an der Mürz ;Neuberg (60518) ;UTM 33 ;543450 ;5279020   
Ensemble Dürnstein;Niederösterreich;Krems ;Dürnstein ;Dürnstein (12105) ;UTM 33 ;538512,00 ;5360448,00 
Archäologische Anlage Magdalensberg;Kärnten;Klagenfurt Land ;Magdalensberg ;Ottmanach (42149) ;UTM 33 ;456373,18 ;5175122,75 
Ensemble Salzburg Altstadt;Salzburg;Salzburg (Statutarstadt) ;Salzburg (Statutarstadt) ;Salzburg (56537) ;UTM 33 ;353676,50 ;5295852,10 
Ensemble Schärding;Oberösterreich;Schärding ;Schärding ;Schärding-Stadt (48237) ;UTM 33 ;383957,00 ;5368280,00 
Denkmalanlage Stift Seckau;Steiermark;Murtal ;Seckau ;Seckau (65137) ;UTM 33 ;483942,00 ;5235702,00 
Ensemble Mureck;Steiermark;Südoststeiermark ;Mureck ;Mureck (66218) ;UTM 33 ;559133,00 ;5172948,00 
